Cache Initialized. size: 256MB
time,id,size
hit ratio:0.84315,time:26
hit ratio:0.81816,time:51
hit ratio:0.808057,time:77
hit ratio:0.806225,time:103
hit ratio:0.79681,time:129
hit ratio:0.798095,time:155
hit ratio:0.805953,time:180
hit ratio:0.81003,time:206
hit ratio:0.809876,time:232
hit ratio:0.811853,time:258
hit ratio:0.817295,time:284
hit ratio:0.818795,time:309
hit ratio:0.816985,time:335
hit ratio:0.817536,time:361
hit ratio:0.81987,time:387
hit ratio:0.820255,time:413
hit ratio:0.818579,time:439
hit ratio:0.819222,time:464
hit ratio:0.82043,time:490
hit ratio:0.820915,time:516
hit ratio:0.820383,time:542
hit ratio:0.821249,time:568
hit ratio:0.821823,time:593
hit ratio:0.821831,time:619
hit ratio:0.820859,time:645
hit ratio:0.821433,time:671
hit ratio:0.821809,time:696
hit ratio:0.822031,time:722
hit ratio:0.822514,time:748
hit ratio:0.822673,time:774
hit ratio:0.823498,time:800
hit ratio:0.823507,time:826
hit ratio:0.822802,time:851
hit ratio:0.822858,time:877
hit ratio:0.823026,time:903
hit ratio:0.822938,time:929
hit ratio:0.82239,time:954
hit ratio:0.822458,time:980
hit ratio:0.822861,time:1006
hit ratio:0.822693,time:1032
hit ratio:0.822368,time:1058
hit ratio:0.822594,time:1083
hit ratio:0.82317,time:1109
hit ratio:0.823185,time:1135
hit ratio:0.822857,time:1161
hit ratio:0.823078,time:1187
hit ratio:0.823374,time:1212
hit ratio:0.823363,time:1238
hit ratio:0.822967,time:1264
hit ratio:0.82297,time:1290
hit ratio:0.823449,time:1315
hit ratio:0.823611,time:1341
hit ratio:0.824338,time:1367
hit ratio:0.824639,time:1393
hit ratio:0.825134,time:1418
hit ratio:0.825783,time:1444
hit ratio:0.825283,time:1470
hit ratio:0.825095,time:1496
hit ratio:0.825662,time:1522
hit ratio:0.825768,time:1548
hit ratio:0.82581,time:1574
hit ratio:0.825694,time:1599
hit ratio:0.825955,time:1625
hit ratio:0.826348,time:1651
hit ratio:0.826362,time:1677
hit ratio:0.826147,time:1703
hit ratio:0.826256,time:1728
hit ratio:0.82647,time:1754
hit ratio:0.826575,time:1780
hit ratio:0.82633,time:1806
hit ratio:0.826413,time:1832
hit ratio:0.826637,time:1857
hit ratio:0.826675,time:1883
hit ratio:0.826353,time:1909
hit ratio:0.82629,time:1935
hit ratio:0.826567,time:1960
hit ratio:0.826384,time:1986
hit ratio:0.825984,time:2012
hit ratio:0.825995,time:2038
hit ratio:0.82612,time:2064
hit ratio:0.825923,time:2090
hit ratio:0.825618,time:2115
hit ratio:0.825611,time:2141
hit ratio:0.825771,time:2167
hit ratio:0.825699,time:2193
hit ratio:0.82542,time:2219
hit ratio:0.825343,time:2244
hit ratio:0.825419,time:2270
hit ratio:0.82529,time:2296
hit ratio:0.82508,time:2322
hit ratio:0.82508,time:2348
hit ratio:0.825167,time:2373
hit ratio:0.825064,time:2399
hit ratio:0.824816,time:2425
hit ratio:0.82483,time:2451
hit ratio:0.824946,time:2477
hit ratio:0.824834,time:2502
hit ratio:0.824545,time:2528
hit ratio:0.824497,time:2554
hit ratio:0.824738,time:2580
hit ratio:0.824671,time:2606
hit ratio:0.82436,time:2631
hit ratio:0.824244,time:2657
hit ratio:0.824579,time:2683
hit ratio:0.824541,time:2709
hit ratio:0.824279,time:2735
hit ratio:0.824022,time:2761
hit ratio:0.824287,time:2786
hit ratio:0.82431,time:2812
hit ratio:0.824128,time:2838
hit ratio:0.823919,time:2864
hit ratio:0.824015,time:2890
hit ratio:0.824099,time:2916
hit ratio:0.824018,time:2941
hit ratio:0.823879,time:2967
hit ratio:0.823974,time:2993
hit ratio:0.824235,time:3019
hit ratio:0.824288,time:3045
hit ratio:0.824174,time:3070
hit ratio:0.824284,time:3096
hit ratio:0.824429,time:3122
hit ratio:0.824467,time:3148
hit ratio:0.824351,time:3174
hit ratio:0.824409,time:3200
hit ratio:0.824768,time:3225
hit ratio:0.824755,time:3251
hit ratio:0.824596,time:3277
hit ratio:0.824447,time:3303
hit ratio:0.824487,time:3329
hit ratio:0.824697,time:3354
hit ratio:0.824694,time:3380
hit ratio:0.824572,time:3406
hit ratio:0.824648,time:3432
hit ratio:0.824785,time:3458
hit ratio:0.824853,time:3484
hit ratio:0.824672,time:3509
hit ratio:0.824593,time:3535
hit ratio:0.82486,time:3561
hit ratio:0.824865,time:3587
hit ratio:0.824742,time:3613
hit ratio:0.82466,time:3638
hit ratio:0.824712,time:3664
hit ratio:0.824849,time:3690
hit ratio:0.824819,time:3716
hit ratio:0.824705,time:3742
hit ratio:0.824744,time:3768
hit ratio:0.824872,time:3793
hit ratio:0.824886,time:3819
hit ratio:0.824725,time:3845
hit ratio:0.824613,time:3871
hit ratio:0.824795,time:3897
hit ratio:0.824764,time:3923
hit ratio:0.824649,time:3949
hit ratio:0.824526,time:3974
hit ratio:0.824515,time:4000
hit ratio:0.824664,time:4026
hit ratio:0.824606,time:4052
hit ratio:0.82452,time:4078
hit ratio:0.824501,time:4103
hit ratio:0.824671,time:4129
hit ratio:0.824621,time:4155
hit ratio:0.82448,time:4181
hit ratio:0.824463,time:4207
hit ratio:0.8246,time:4233
hit ratio:0.824581,time:4258
hit ratio:0.824429,time:4284
hit ratio:0.824294,time:4310
hit ratio:0.824248,time:4336
hit ratio:0.824398,time:4362
hit ratio:0.824326,time:4388
hit ratio:0.824231,time:4413
hit ratio:0.824167,time:4439
hit ratio:0.824287,time:4465
hit ratio:0.824238,time:4491
hit ratio:0.824123,time:4517
hit ratio:0.824075,time:4542
hit ratio:0.824141,time:4568
hit ratio:0.824076,time:4594
hit ratio:0.823925,time:4620
hit ratio:0.823873,time:4646
hit ratio:0.824024,time:4671
hit ratio:0.823997,time:4697
hit ratio:0.823886,time:4723
hit ratio:0.823779,time:4749
hit ratio:0.82382,time:4775
hit ratio:0.823903,time:4801
hit ratio:0.823846,time:4826
hit ratio:0.823758,time:4852
hit ratio:0.823722,time:4878
hit ratio:0.823817,time:4904
hit ratio:0.823779,time:4930
hit ratio:0.823665,time:4955
hit ratio:0.823675,time:4981
hit ratio:0.823784,time:5007
hit ratio:0.823787,time:5033
hit ratio:0.82368,time:5058
hit ratio:0.823563,time:5084
hit ratio:0.823578,time:5110
hit ratio:0.823703,time:5136
hit ratio:0.823687,time:5162
hit ratio:0.823633,time:5187
hit ratio:0.82364,time:5213
hit ratio:0.82375,time:5239
hit ratio:0.823748,time:5265
hit ratio:0.823618,time:5291
hit ratio:0.82349,time:5316
hit ratio:0.82356,time:5342
hit ratio:0.823713,time:5368
hit ratio:0.823741,time:5394
hit ratio:0.823636,time:5420
hit ratio:0.82366,time:5445
hit ratio:0.823795,time:5471
hit ratio:0.823821,time:5497
hit ratio:0.823701,time:5523
hit ratio:0.823599,time:5549
hit ratio:0.82365,time:5574
hit ratio:0.823771,time:5600
hit ratio:0.823794,time:5626
hit ratio:0.823711,time:5652
hit ratio:0.823682,time:5677
hit ratio:0.823845,time:5703
hit ratio:0.823798,time:5729
hit ratio:0.823791,time:5755
hit ratio:0.823721,time:5780
hit ratio:0.823741,time:5806
hit ratio:0.823866,time:5832
hit ratio:0.823861,time:5858
hit ratio:0.823793,time:5884
hit ratio:0.823666,time:5909
hit ratio:0.823705,time:5935
hit ratio:0.823849,time:5961
hit ratio:0.823843,time:5987
hit ratio:0.823769,time:6013
hit ratio:0.823768,time:6038
hit ratio:0.823918,time:6064
hit ratio:0.823928,time:6090
hit ratio:0.823797,time:6116
hit ratio:0.823713,time:6141
hit ratio:0.823754,time:6167
hit ratio:0.823861,time:6193
hit ratio:0.823866,time:6219
hit ratio:0.823788,time:6245
hit ratio:0.823735,time:6271
hit ratio:0.823846,time:6296
hit ratio:0.823875,time:6322
hit ratio:0.82386,time:6348
hit ratio:0.823785,time:6373
hit ratio:0.823799,time:6399
hit ratio:0.823904,time:6425
hit ratio:0.823896,time:6451
hit ratio:0.823818,time:6477
hit ratio:0.823723,time:6503
hit ratio:0.823746,time:6528
hit ratio:0.823867,time:6554
hit ratio:0.823869,time:6580
hit ratio:0.82381,time:6606
hit ratio:0.823805,time:6631
hit ratio:0.823962,time:6657
hit ratio:0.823903,time:6683
hit ratio:0.823837,time:6709
hit ratio:0.82378,time:6734
hit ratio:0.823784,time:6760
hit ratio:0.823905,time:6786
hit ratio:0.823886,time:6812
hit ratio:0.823799,time:6838
hit ratio:0.823692,time:6863
hit ratio:0.823696,time:6889
hit ratio:0.82381,time:6915
hit ratio:0.823806,time:6941
hit ratio:0.823744,time:6967
hit ratio:0.82369,time:6992
hit ratio:0.82378,time:7018
hit ratio:0.823799,time:7044
hit ratio:0.823802,time:7070
hit ratio:0.823736,time:7095
hit ratio:0.82376,time:7121
hit ratio:0.823869,time:7147
hit ratio:0.823868,time:7173
hit ratio:0.82378,time:7199
hit ratio:0.823693,time:7224
hit ratio:0.823719,time:7250
hit ratio:0.823831,time:7276
hit ratio:0.823833,time:7302
hit ratio:0.823754,time:7327
hit ratio:0.82371,time:7353
hit ratio:0.823776,time:7379
hit ratio:0.823816,time:7405
hit ratio:0.823833,time:7431
hit ratio:0.823769,time:7456
hit ratio:0.823774,time:7482
hit ratio:0.823891,time:7508
hit ratio:0.823883,time:7534
hit ratio:0.823826,time:7560
hit ratio:0.823739,time:7585
hit ratio:0.823763,time:7611
hit ratio:0.823882,time:7637
hit ratio:0.823874,time:7663
hit ratio:0.823797,time:7688
hit ratio:0.823725,time:7714
hit ratio:0.823785,time:7740
hit ratio:0.823869,time:7766
hit ratio:0.823843,time:7792
hit ratio:0.823798,time:7817
hit ratio:0.823797,time:7843
hit ratio:0.823922,time:7869
hit ratio:0.823909,time:7895
hit ratio:0.823839,time:7920
hit ratio:0.823741,time:7946
hit ratio:0.823757,time:7972
hit ratio:0.823865,time:7998
hit ratio:0.823847,time:8024
hit ratio:0.823767,time:8049
hit ratio:0.823734,time:8075
hit ratio:0.823824,time:8101
hit ratio:0.823795,time:8127
hit ratio:0.823776,time:8152
hit ratio:0.823711,time:8178
hit ratio:0.823726,time:8204
hit ratio:0.82383,time:8230
hit ratio:0.823816,time:8256
hit ratio:0.823743,time:8281
hit ratio:0.823683,time:8307
hit ratio:0.823736,time:8333
hit ratio:0.823775,time:8359
hit ratio:0.823772,time:8384
hit ratio:0.823712,time:8410
hit ratio:0.823722,time:8436
hit ratio:0.823839,time:8462
hit ratio:0.823827,time:8488
hit ratio:0.82375,time:8513
hit ratio:0.823651,time:8539
hit ratio:0.823656,time:8565
hit ratio:0.823756,time:8591
hit ratio:0.823755,time:8617
hit ratio:0.823679,time:8642
hit ratio:0.823623,time:8668
hit ratio:0.823701,time:8694
hit ratio:0.823705,time:8720
hit ratio:0.823708,time:8746
hit ratio:0.823645,time:8771
hit ratio:0.82365,time:8797
hit ratio:0.823754,time:8823
hit ratio:0.823752,time:8849
hit ratio:0.82368,time:8875
hit ratio:0.823592,time:8900
