Cache Initialized. size: 512MB
time,id,size
hit ratio:0.84315,time:26
hit ratio:0.81816,time:51
hit ratio:0.808057,time:77
hit ratio:0.806225,time:103
hit ratio:0.79681,time:129
hit ratio:0.798095,time:155
hit ratio:0.805953,time:180
hit ratio:0.81003,time:206
hit ratio:0.809876,time:232
hit ratio:0.811853,time:258
hit ratio:0.817505,time:284
hit ratio:0.820062,time:309
hit ratio:0.819948,time:335
hit ratio:0.821812,time:361
hit ratio:0.825008,time:387
hit ratio:0.826649,time:413
hit ratio:0.826716,time:439
hit ratio:0.828631,time:464
hit ratio:0.830952,time:490
hit ratio:0.832559,time:516
hit ratio:0.833252,time:542
hit ratio:0.835058,time:568
hit ratio:0.836704,time:593
hit ratio:0.837799,time:619
hit ratio:0.838126,time:645
hit ratio:0.839573,time:671
hit ratio:0.840838,time:696
hit ratio:0.841915,time:722
hit ratio:0.843129,time:748
hit ratio:0.844039,time:774
hit ratio:0.845439,time:800
hit ratio:0.846192,time:826
hit ratio:0.846349,time:851
hit ratio:0.846947,time:877
hit ratio:0.847543,time:903
hit ratio:0.847889,time:929
hit ratio:0.847861,time:954
hit ratio:0.848285,time:980
hit ratio:0.848972,time:1006
hit ratio:0.849183,time:1032
hit ratio:0.849257,time:1058
hit ratio:0.849724,time:1083
hit ratio:0.850464,time:1109
hit ratio:0.850755,time:1135
hit ratio:0.850747,time:1161
hit ratio:0.851205,time:1187
hit ratio:0.851707,time:1212
hit ratio:0.852005,time:1238
hit ratio:0.851977,time:1264
hit ratio:0.852253,time:1290
hit ratio:0.852868,time:1315
hit ratio:0.853188,time:1341
hit ratio:0.853951,time:1367
hit ratio:0.854395,time:1393
hit ratio:0.854975,time:1418
hit ratio:0.855646,time:1444
hit ratio:0.855407,time:1470
hit ratio:0.855406,time:1496
hit ratio:0.856013,time:1522
hit ratio:0.856234,time:1548
hit ratio:0.856418,time:1574
hit ratio:0.856466,time:1599
hit ratio:0.856818,time:1625
hit ratio:0.857294,time:1651
hit ratio:0.857501,time:1677
hit ratio:0.857512,time:1703
hit ratio:0.857755,time:1728
hit ratio:0.85805,time:1754
hit ratio:0.858243,time:1780
hit ratio:0.85816,time:1806
hit ratio:0.858307,time:1832
hit ratio:0.858553,time:1857
hit ratio:0.858646,time:1883
hit ratio:0.858481,time:1909
hit ratio:0.858521,time:1935
hit ratio:0.858831,time:1960
hit ratio:0.858769,time:1986
hit ratio:0.858533,time:2012
hit ratio:0.858603,time:2038
hit ratio:0.858796,time:2064
hit ratio:0.858748,time:2090
hit ratio:0.858618,time:2115
hit ratio:0.858693,time:2141
hit ratio:0.85889,time:2167
hit ratio:0.858911,time:2193
hit ratio:0.858729,time:2219
hit ratio:0.858701,time:2244
hit ratio:0.858807,time:2270
hit ratio:0.858752,time:2296
hit ratio:0.85863,time:2322
hit ratio:0.858691,time:2348
hit ratio:0.858825,time:2373
hit ratio:0.858795,time:2399
hit ratio:0.858668,time:2425
hit ratio:0.858739,time:2451
hit ratio:0.858927,time:2477
hit ratio:0.858943,time:2502
hit ratio:0.858824,time:2528
hit ratio:0.858884,time:2554
hit ratio:0.85915,time:2580
hit ratio:0.859178,time:2606
hit ratio:0.859011,time:2631
hit ratio:0.858983,time:2657
hit ratio:0.859297,time:2683
hit ratio:0.859325,time:2709
hit ratio:0.859169,time:2735
hit ratio:0.859007,time:2761
hit ratio:0.859243,time:2786
hit ratio:0.859298,time:2812
hit ratio:0.859199,time:2838
hit ratio:0.859091,time:2864
hit ratio:0.859209,time:2890
hit ratio:0.859328,time:2916
hit ratio:0.859324,time:2941
hit ratio:0.859251,time:2967
hit ratio:0.859364,time:2993
hit ratio:0.859602,time:3019
hit ratio:0.859661,time:3045
hit ratio:0.85959,time:3070
hit ratio:0.859691,time:3096
hit ratio:0.859827,time:3122
hit ratio:0.859882,time:3148
hit ratio:0.859828,time:3174
hit ratio:0.859913,time:3200
hit ratio:0.860224,time:3225
hit ratio:0.860255,time:3251
hit ratio:0.860191,time:3277
hit ratio:0.860137,time:3303
hit ratio:0.860205,time:3329
hit ratio:0.860406,time:3354
hit ratio:0.860437,time:3380
hit ratio:0.86038,time:3406
hit ratio:0.860464,time:3432
hit ratio:0.860602,time:3458
hit ratio:0.860691,time:3484
hit ratio:0.860579,time:3509
hit ratio:0.860528,time:3535
hit ratio:0.860766,time:3561
hit ratio:0.860808,time:3587
hit ratio:0.860743,time:3613
hit ratio:0.860715,time:3638
hit ratio:0.86079,time:3664
hit ratio:0.860928,time:3690
hit ratio:0.86094,time:3716
hit ratio:0.860883,time:3742
hit ratio:0.860942,time:3768
hit ratio:0.861072,time:3793
hit ratio:0.861116,time:3819
hit ratio:0.861025,time:3845
hit ratio:0.860971,time:3871
hit ratio:0.861132,time:3897
hit ratio:0.861131,time:3923
hit ratio:0.861064,time:3949
hit ratio:0.860986,time:3974
hit ratio:0.861006,time:4000
hit ratio:0.861149,time:4026
hit ratio:0.861134,time:4052
hit ratio:0.861114,time:4078
hit ratio:0.861137,time:4103
hit ratio:0.861296,time:4129
hit ratio:0.861302,time:4155
hit ratio:0.861226,time:4181
hit ratio:0.861233,time:4207
hit ratio:0.861353,time:4233
hit ratio:0.861354,time:4258
hit ratio:0.861256,time:4284
hit ratio:0.861177,time:4310
hit ratio:0.861167,time:4336
hit ratio:0.861305,time:4362
hit ratio:0.861264,time:4388
hit ratio:0.861225,time:4413
hit ratio:0.861195,time:4439
hit ratio:0.861316,time:4465
hit ratio:0.861303,time:4491
hit ratio:0.861234,time:4517
hit ratio:0.861208,time:4542
hit ratio:0.861274,time:4568
hit ratio:0.861249,time:4594
hit ratio:0.861161,time:4620
hit ratio:0.861147,time:4646
hit ratio:0.861281,time:4671
hit ratio:0.861285,time:4697
hit ratio:0.861227,time:4723
hit ratio:0.861169,time:4749
hit ratio:0.861223,time:4775
hit ratio:0.861314,time:4801
hit ratio:0.861298,time:4826
hit ratio:0.861268,time:4852
hit ratio:0.86127,time:4878
hit ratio:0.861374,time:4904
hit ratio:0.861369,time:4930
hit ratio:0.861304,time:4955
hit ratio:0.861337,time:4981
hit ratio:0.861449,time:5007
hit ratio:0.861479,time:5033
hit ratio:0.861416,time:5058
hit ratio:0.86134,time:5084
hit ratio:0.861361,time:5110
hit ratio:0.86147,time:5136
hit ratio:0.861471,time:5162
hit ratio:0.861449,time:5187
hit ratio:0.861468,time:5213
hit ratio:0.861562,time:5239
hit ratio:0.861577,time:5265
hit ratio:0.861492,time:5291
hit ratio:0.861406,time:5316
hit ratio:0.861473,time:5342
hit ratio:0.861603,time:5368
hit ratio:0.861627,time:5394
hit ratio:0.861547,time:5420
hit ratio:0.861574,time:5445
hit ratio:0.861687,time:5471
hit ratio:0.861714,time:5497
hit ratio:0.861631,time:5523
hit ratio:0.861565,time:5549
hit ratio:0.861616,time:5574
hit ratio:0.86172,time:5600
hit ratio:0.861749,time:5626
hit ratio:0.861701,time:5652
hit ratio:0.861701,time:5677
hit ratio:0.861844,time:5703
hit ratio:0.861828,time:5729
hit ratio:0.861844,time:5755
hit ratio:0.861806,time:5780
hit ratio:0.861839,time:5806
hit ratio:0.861951,time:5832
hit ratio:0.86197,time:5858
hit ratio:0.861939,time:5884
hit ratio:0.861859,time:5909
hit ratio:0.861909,time:5935
hit ratio:0.862031,time:5961
hit ratio:0.862039,time:5987
hit ratio:0.861998,time:6013
hit ratio:0.862016,time:6038
hit ratio:0.862145,time:6064
hit ratio:0.862172,time:6090
hit ratio:0.862092,time:6116
hit ratio:0.862041,time:6141
hit ratio:0.862089,time:6167
hit ratio:0.862184,time:6193
hit ratio:0.8622,time:6219
hit ratio:0.862152,time:6245
hit ratio:0.862123,time:6271
hit ratio:0.862222,time:6296
hit ratio:0.862263,time:6322
hit ratio:0.86226,time:6348
hit ratio:0.862216,time:6373
hit ratio:0.862237,time:6399
hit ratio:0.862337,time:6425
hit ratio:0.862341,time:6451
hit ratio:0.862296,time:6477
hit ratio:0.862241,time:6503
hit ratio:0.86227,time:6528
hit ratio:0.862377,time:6554
hit ratio:0.862394,time:6580
hit ratio:0.862361,time:6606
hit ratio:0.862367,time:6631
hit ratio:0.862502,time:6657
hit ratio:0.862468,time:6683
hit ratio:0.86243,time:6709
hit ratio:0.862396,time:6734
hit ratio:0.862407,time:6760
hit ratio:0.862507,time:6786
hit ratio:0.862502,time:6812
hit ratio:0.862445,time:6838
hit ratio:0.862381,time:6863
hit ratio:0.8624,time:6889
hit ratio:0.862499,time:6915
hit ratio:0.862512,time:6941
hit ratio:0.862477,time:6967
hit ratio:0.862448,time:6992
hit ratio:0.862527,time:7018
hit ratio:0.862549,time:7044
hit ratio:0.86256,time:7070
hit ratio:0.862519,time:7095
hit ratio:0.862549,time:7121
hit ratio:0.862645,time:7147
hit ratio:0.862658,time:7173
hit ratio:0.862602,time:7199
hit ratio:0.862546,time:7224
hit ratio:0.862578,time:7250
hit ratio:0.862673,time:7276
hit ratio:0.862684,time:7302
hit ratio:0.862632,time:7327
hit ratio:0.862606,time:7353
hit ratio:0.862664,time:7379
hit ratio:0.862705,time:7405
hit ratio:0.862727,time:7431
hit ratio:0.862687,time:7456
hit ratio:0.8627,time:7482
hit ratio:0.8628,time:7508
hit ratio:0.862799,time:7534
hit ratio:0.862764,time:7560
hit ratio:0.862705,time:7585
hit ratio:0.862729,time:7611
hit ratio:0.862829,time:7637
hit ratio:0.862835,time:7663
hit ratio:0.862787,time:7688
hit ratio:0.862746,time:7714
hit ratio:0.862803,time:7740
hit ratio:0.862876,time:7766
hit ratio:0.862861,time:7792
hit ratio:0.862835,time:7817
hit ratio:0.862843,time:7843
hit ratio:0.862945,time:7869
hit ratio:0.862942,time:7895
hit ratio:0.862891,time:7920
hit ratio:0.86282,time:7946
hit ratio:0.862839,time:7972
hit ratio:0.862927,time:7998
hit ratio:0.862922,time:8024
hit ratio:0.862874,time:8049
hit ratio:0.862858,time:8075
hit ratio:0.862931,time:8101
hit ratio:0.862917,time:8127
hit ratio:0.862913,time:8152
hit ratio:0.862866,time:8178
hit ratio:0.862883,time:8204
hit ratio:0.862966,time:8230
hit ratio:0.862965,time:8256
hit ratio:0.862914,time:8281
hit ratio:0.862878,time:8307
hit ratio:0.862925,time:8333
hit ratio:0.862962,time:8359
hit ratio:0.862965,time:8384
hit ratio:0.862927,time:8410
hit ratio:0.862942,time:8436
hit ratio:0.863038,time:8462
hit ratio:0.863038,time:8488
hit ratio:0.862981,time:8513
hit ratio:0.862915,time:8539
hit ratio:0.862921,time:8565
hit ratio:0.863004,time:8591
hit ratio:0.86301,time:8617
hit ratio:0.862956,time:8642
hit ratio:0.862919,time:8668
hit ratio:0.862986,time:8694
hit ratio:0.862994,time:8720
hit ratio:0.863004,time:8746
hit ratio:0.862962,time:8771
hit ratio:0.862972,time:8797
hit ratio:0.863059,time:8823
hit ratio:0.863064,time:8849
hit ratio:0.863015,time:8875
hit ratio:0.862957,time:8900
