Marginal Hits init. Cache Initialized. size: 16GB
hit ratio:0.23806,time:716
hit ratio:0.305035,time:944
hit ratio:0.346203,time:1130
hit ratio:0.375135,time:1320
hit ratio:0.39802,time:1514
hit ratio:0.416042,time:1701
hit ratio:0.43166,time:1889
hit ratio:0.44399,time:2077
hit ratio:0.455599,time:2263
hit ratio:0.465974,time:2449
hit ratio:0.475518,time:2632
hit ratio:0.484118,time:2819
hit ratio:0.491045,time:3010
hit ratio:0.495571,time:3207
hit ratio:0.499183,time:3400
hit ratio:0.5019,time:3592
hit ratio:0.504374,time:3785
hit ratio:0.506524,time:3976
hit ratio:0.508585,time:4166
hit ratio:0.510521,time:4351
hit ratio:0.512284,time:4541
hit ratio:0.51399,time:4730
hit ratio:0.515944,time:4921
hit ratio:0.518117,time:5115
hit ratio:0.520295,time:5307
hit ratio:0.522248,time:5496
hit ratio:0.524069,time:5685
hit ratio:0.525567,time:5870
hit ratio:0.527104,time:6054
hit ratio:0.528472,time:6237
hit ratio:0.529481,time:6419
hit ratio:0.530683,time:6602
hit ratio:0.531747,time:6781
hit ratio:0.532748,time:6961
hit ratio:0.533674,time:7139
hit ratio:0.534363,time:7316
hit ratio:0.535206,time:7491
hit ratio:0.53612,time:7666
hit ratio:0.536781,time:7837
hit ratio:0.537337,time:8007
hit ratio:0.537907,time:8178
hit ratio:0.53846,time:8349
hit ratio:0.538935,time:8516
hit ratio:0.539415,time:8681
hit ratio:0.539903,time:8845
hit ratio:0.540313,time:9009
hit ratio:0.540709,time:9172
hit ratio:0.541036,time:9334
hit ratio:0.541309,time:9496
hit ratio:0.541657,time:9657
hit ratio:0.541949,time:9814
hit ratio:0.542208,time:9973
hit ratio:0.54248,time:10129
hit ratio:0.542793,time:10286
hit ratio:0.542992,time:10445
hit ratio:0.543153,time:10605
hit ratio:0.543213,time:10762
hit ratio:0.543309,time:10919
hit ratio:0.543352,time:11079
hit ratio:0.543259,time:11239
hit ratio:0.543226,time:11400
hit ratio:0.543245,time:11561
hit ratio:0.543269,time:11723
hit ratio:0.54332,time:11887
hit ratio:0.543421,time:12048
hit ratio:0.543485,time:12212
hit ratio:0.543431,time:12372
hit ratio:0.543446,time:12532
hit ratio:0.543454,time:12691
hit ratio:0.543384,time:12851
hit ratio:0.543343,time:13008
hit ratio:0.543299,time:13164
hit ratio:0.543194,time:13319
hit ratio:0.543144,time:13473
hit ratio:0.543045,time:13626
hit ratio:0.542949,time:13781
hit ratio:0.542878,time:13935
hit ratio:0.542803,time:14090
hit ratio:0.542727,time:14240
hit ratio:0.542615,time:14391
hit ratio:0.542545,time:14542
hit ratio:0.542366,time:14693
hit ratio:0.542184,time:14845
hit ratio:0.542067,time:15000
hit ratio:0.541906,time:15155
hit ratio:0.541664,time:15315
hit ratio:0.541514,time:15478
hit ratio:0.541357,time:15635
hit ratio:0.541301,time:15800
hit ratio:0.541229,time:15951
hit ratio:0.541158,time:16104
hit ratio:0.541126,time:16256
hit ratio:0.541061,time:16407
hit ratio:0.541001,time:16558
hit ratio:0.540917,time:16710
hit ratio:0.540822,time:16862
hit ratio:0.540708,time:17015
hit ratio:0.540606,time:17165
hit ratio:0.540519,time:17314
hit ratio:0.540401,time:17467
hit ratio:0.540267,time:17619
hit ratio:0.54016,time:17771
hit ratio:0.540034,time:17923
hit ratio:0.539907,time:18073
hit ratio:0.53981,time:18222
hit ratio:0.539667,time:18371
