Cache Initialized. size: 8GB
time,id,size
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.389574,time:3887
hit ratio:0.402438,time:4691
hit ratio:0.411214,time:5499
hit ratio:0.418569,time:6288
hit ratio:0.42403,time:7069
hit ratio:0.428748,time:7850
hit ratio:0.432681,time:8632
hit ratio:0.43555,time:9403
hit ratio:0.438103,time:10171
hit ratio:0.440712,time:10958
hit ratio:0.442345,time:11710
hit ratio:0.443038,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.443504,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.443899,time:13989
hit ratio:0.444199,time:14779
hit ratio:0.444441,time:15563
hit ratio:0.444657,time:16326
hit ratio:0.444674,time:17096
hit ratio:0.445239,time:17882
hit ratio:0.445502,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.445563,time:19404
hit ratio:0.445822,time:20166
hit ratio:0.446244,time:20916
hit ratio:0.447089,time:21684
hit ratio:0.448136,time:22433
hit ratio:0.449198,time:23194
hit ratio:0.450379,time:23950
hit ratio:0.451532,time:24700
hit ratio:0.452639,time:25449
hit ratio:0.453679,time:26192
hit ratio:0.454758,time:26922
hit ratio:0.455898,time:27632
hit ratio:0.456949,time:28328
hit ratio:0.457952,time:29007
hit ratio:0.459055,time:29670
hit ratio:0.460072,time:30328
hit ratio:0.46112,time:30962
hit ratio:0.462364,time:31590
hit ratio:0.463468,time:32207
hit ratio:0.464485,time:32829
hit ratio:0.465574,time:33441
hit ratio:0.466704,time:34046
hit ratio:0.467707,time:34657
hit ratio:0.468714,time:35265
hit ratio:0.469752,time:35879
hit ratio:0.470786,time:36490
hit ratio:0.47161,time:37103
hit ratio:0.472395,time:37709
hit ratio:0.473178,time:38320
hit ratio:0.473887,time:38931
hit ratio:0.474533,time:39552
hit ratio:0.475045,time:40180
hit ratio:0.475482,time:40816
hit ratio:0.47587,time:41477
hit ratio:0.476148,time:42155
hit ratio:0.476328,time:42853
hit ratio:0.476478,time:43587
hit ratio:0.476512,time:44347
hit ratio:0.476342,time:45128
hit ratio:0.476276,time:45948
hit ratio:0.476104,time:46824
hit ratio:0.475879,time:47725
hit ratio:0.475554,time:48696
hit ratio:0.475374,time:49747
hit ratio:0.475011,time:50827
hit ratio:0.474518,time:51970
hit ratio:0.473999,time:53199
hit ratio:0.473396,time:54518
hit ratio:0.472615,time:55860
hit ratio:0.471645,time:57231
hit ratio:0.470909,time:58841
hit ratio:0.470068,time:60573
hit ratio:0.469563,time:62284
hit ratio:0.468789,time:64128
hit ratio:0.467822,time:65924
hit ratio:0.466734,time:67552
hit ratio:0.465741,time:69081
hit ratio:0.46486,time:70500
hit ratio:0.464215,time:71838
hit ratio:0.463686,time:73063
hit ratio:0.463205,time:74185
hit ratio:0.462888,time:75243
hit ratio:0.46266,time:76275
hit ratio:0.462577,time:77261
hit ratio:0.462522,time:78215
hit ratio:0.46256,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.462602,time:80051
hit ratio:0.462668,time:80948
hit ratio:0.46272,time:81839
hit ratio:0.462804,time:82705
hit ratio:0.462966,time:83577
hit ratio:0.463072,time:84442
hit ratio:0.463225,time:85308
hit ratio:0.463446,time:86174
hit ratio:0.463655,time:87040
hit ratio:0.463813,time:87900
hit ratio:0.46403,time:88767
hit ratio:0.464312,time:89637
hit ratio:0.464571,time:90508
hit ratio:0.464866,time:91374
hit ratio:0.465188,time:92227
hit ratio:0.465468,time:93075
hit ratio:0.465811,time:93916
hit ratio:0.466079,time:94749
hit ratio:0.46637,time:95584
hit ratio:0.466641,time:96405
hit ratio:0.466924,time:97227
hit ratio:0.467244,time:98056
hit ratio:0.467605,time:98877
hit ratio:0.467957,time:99690
hit ratio:0.468263,time:100502
hit ratio:0.468574,time:101312
hit ratio:0.468916,time:102104
hit ratio:0.469229,time:102901
hit ratio:0.469488,time:103693
hit ratio:0.469747,time:104476
hit ratio:0.470034,time:105238
hit ratio:0.470329,time:105994
hit ratio:0.47059,time:106743
hit ratio:0.470883,time:107474
hit ratio:0.471205,time:108170
hit ratio:0.471509,time:108872
hit ratio:0.471772,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.472092,time:110283
hit ratio:0.472455,time:110970
hit ratio:0.472741,time:111643
hit ratio:0.472957,time:112307
hit ratio:0.473239,time:112970
hit ratio:0.473565,time:113627
hit ratio:0.473916,time:114270
hit ratio:0.474336,time:114894
hit ratio:0.474707,time:115510
hit ratio:0.475066,time:116124
hit ratio:0.475431,time:116724
hit ratio:0.475779,time:117305
hit ratio:0.476093,time:117897
hit ratio:0.476474,time:118476
hit ratio:0.476911,time:119042
hit ratio:0.477293,time:119593
hit ratio:0.477642,time:120143
hit ratio:0.478052,time:120686
hit ratio:0.478482,time:121213
put_ChainedItem.. for value size:4581141
numChunks:5
parentItemSize:8
hit ratio:0.478896,time:121753
hit ratio:0.479273,time:122295
hit ratio:0.479621,time:122833
hit ratio:0.480008,time:123358
hit ratio:0.480412,time:123891
hit ratio:0.480746,time:124445
hit ratio:0.481046,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.481371,time:125566
hit ratio:0.481691,time:126120
hit ratio:0.482001,time:126691
hit ratio:0.482233,time:127291
hit ratio:0.482469,time:127896
