Marginal Hits init. Cache Initialized. size: 32GB
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.393678,time:3887
hit ratio:0.416513,time:4691
hit ratio:0.43591,time:5499
hit ratio:0.45304,time:6288
hit ratio:0.467267,time:7069
hit ratio:0.480535,time:7850
hit ratio:0.492839,time:8632
hit ratio:0.503506,time:9403
hit ratio:0.513258,time:10171
hit ratio:0.522626,time:10958
hit ratio:0.530755,time:11710
hit ratio:0.53775,time:12459
hit ratio:0.544011,time:13218
hit ratio:0.550136,time:13989
hit ratio:0.555947,time:14779
hit ratio:0.561342,time:15563
hit ratio:0.566362,time:16326
hit ratio:0.570902,time:17096
hit ratio:0.575873,time:17882
hit ratio:0.580347,time:18651
hit ratio:0.584313,time:19404
hit ratio:0.588259,time:20166
hit ratio:0.592259,time:20916
hit ratio:0.596351,time:21684
hit ratio:0.600384,time:22433
hit ratio:0.604339,time:23194
hit ratio:0.608113,time:23950
hit ratio:0.611034,time:24700
hit ratio:0.613361,time:25449
hit ratio:0.615343,time:26192
hit ratio:0.617307,time:26922
hit ratio:0.619233,time:27632
hit ratio:0.621021,time:28328
hit ratio:0.622837,time:29007
hit ratio:0.624612,time:29670
hit ratio:0.626186,time:30328
hit ratio:0.627838,time:30962
hit ratio:0.629549,time:31590
hit ratio:0.631152,time:32207
hit ratio:0.632721,time:32829
hit ratio:0.634237,time:33441
hit ratio:0.635786,time:34046
hit ratio:0.637162,time:34657
hit ratio:0.638607,time:35265
hit ratio:0.640031,time:35879
hit ratio:0.641464,time:36490
hit ratio:0.642731,time:37103
hit ratio:0.643941,time:37709
hit ratio:0.645153,time:38320
hit ratio:0.646359,time:38931
hit ratio:0.647496,time:39552
hit ratio:0.64851,time:40180
hit ratio:0.649521,time:40816
hit ratio:0.650461,time:41477
hit ratio:0.651316,time:42155
hit ratio:0.65208,time:42853
hit ratio:0.65287,time:43587
hit ratio:0.653554,time:44347
hit ratio:0.654004,time:45128
hit ratio:0.654544,time:45948
hit ratio:0.654957,time:46824
hit ratio:0.655257,time:47725
hit ratio:0.655456,time:48696
hit ratio:0.655753,time:49747
hit ratio:0.655872,time:50827
hit ratio:0.655855,time:51970
hit ratio:0.655818,time:53199
hit ratio:0.655609,time:54518
hit ratio:0.655212,time:55860
hit ratio:0.654564,time:57231
hit ratio:0.654045,time:58841
hit ratio:0.653348,time:60573
hit ratio:0.652923,time:62284
hit ratio:0.652291,time:64128
hit ratio:0.651557,time:65924
hit ratio:0.650677,time:67552
hit ratio:0.649899,time:69081
hit ratio:0.649212,time:70500
hit ratio:0.648688,time:71838
hit ratio:0.648287,time:73063
hit ratio:0.64795,time:74185
hit ratio:0.647748,time:75243
hit ratio:0.647646,time:76275
hit ratio:0.647665,time:77261
hit ratio:0.647735,time:78215
hit ratio:0.647868,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.648017,time:80051
hit ratio:0.648193,time:80948
hit ratio:0.648358,time:81839
hit ratio:0.648551,time:82705
hit ratio:0.648869,time:83577
hit ratio:0.649158,time:84442
hit ratio:0.649488,time:85308
hit ratio:0.649827,time:86174
hit ratio:0.650184,time:87040
hit ratio:0.650509,time:87900
hit ratio:0.650937,time:88767
hit ratio:0.651354,time:89637
hit ratio:0.651811,time:90508
hit ratio:0.652294,time:91374
hit ratio:0.6528,time:92227
hit ratio:0.653245,time:93075
hit ratio:0.653761,time:93916
hit ratio:0.654223,time:94749
hit ratio:0.654709,time:95584
hit ratio:0.655184,time:96405
hit ratio:0.655696,time:97227
hit ratio:0.656238,time:98056
hit ratio:0.656797,time:98877
hit ratio:0.657323,time:99690
hit ratio:0.65786,time:100502
hit ratio:0.658391,time:101312
hit ratio:0.658909,time:102104
hit ratio:0.659395,time:102901
hit ratio:0.659854,time:103693
hit ratio:0.660302,time:104476
hit ratio:0.660786,time:105238
hit ratio:0.66125,time:105994
hit ratio:0.661704,time:106743
hit ratio:0.662173,time:107474
hit ratio:0.662626,time:108170
hit ratio:0.663057,time:108872
hit ratio:0.663444,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.663874,time:110283
hit ratio:0.664348,time:110970
hit ratio:0.664731,time:111643
hit ratio:0.665058,time:112307
hit ratio:0.665434,time:112970
hit ratio:0.665816,time:113627
hit ratio:0.666212,time:114270
hit ratio:0.666664,time:114894
hit ratio:0.667106,time:115510
hit ratio:0.667528,time:116124
hit ratio:0.667945,time:116724
hit ratio:0.668356,time:117305
hit ratio:0.668741,time:117897
hit ratio:0.669174,time:118476
hit ratio:0.669652,time:119042
hit ratio:0.670133,time:119593
hit ratio:0.670576,time:120143
hit ratio:0.671031,time:120686
hit ratio:0.671507,time:121213
hit ratio:0.671988,time:121753
hit ratio:0.672435,time:122295
hit ratio:0.672877,time:122833
hit ratio:0.67334,time:123358
hit ratio:0.673771,time:123891
hit ratio:0.674178,time:124445
hit ratio:0.674546,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.674926,time:125566
hit ratio:0.675301,time:126120
hit ratio:0.675679,time:126691
hit ratio:0.676016,time:127291
hit ratio:0.67633,time:127896
hit ratio:0.676635,time:128525
hit ratio:0.676884,time:129168
hit ratio:0.677129,time:129821
hit ratio:0.677348,time:130476
hit ratio:0.677507,time:131153
hit ratio:0.677658,time:131866
hit ratio:0.677815,time:132608
