Cache Initialized. size: 32GB
hit ratio:0.23806,time:716
hit ratio:0.305035,time:944
hit ratio:0.346203,time:1130
hit ratio:0.375135,time:1320
hit ratio:0.39802,time:1514
hit ratio:0.416042,time:1701
hit ratio:0.43166,time:1889
hit ratio:0.44399,time:2077
hit ratio:0.455599,time:2263
hit ratio:0.465974,time:2449
hit ratio:0.475518,time:2632
hit ratio:0.484118,time:2819
hit ratio:0.492304,time:3010
hit ratio:0.49992,time:3207
hit ratio:0.507032,time:3400
hit ratio:0.513421,time:3592
hit ratio:0.519372,time:3785
hit ratio:0.524794,time:3976
hit ratio:0.529891,time:4166
hit ratio:0.534794,time:4351
hit ratio:0.539326,time:4541
hit ratio:0.543642,time:4730
hit ratio:0.547893,time:4921
hit ratio:0.552223,time:5115
hit ratio:0.556362,time:5307
hit ratio:0.560195,time:5496
hit ratio:0.563842,time:5685
hit ratio:0.56724,time:5870
hit ratio:0.57081,time:6054
hit ratio:0.574195,time:6237
hit ratio:0.57721,time:6419
hit ratio:0.579956,time:6602
hit ratio:0.582168,time:6781
hit ratio:0.58424,time:6961
hit ratio:0.586061,time:7139
hit ratio:0.587532,time:7316
hit ratio:0.589009,time:7491
hit ratio:0.59048,time:7666
hit ratio:0.591637,time:7837
hit ratio:0.592676,time:8007
hit ratio:0.593589,time:8178
hit ratio:0.594561,time:8349
hit ratio:0.595408,time:8516
hit ratio:0.596258,time:8681
hit ratio:0.597109,time:8845
hit ratio:0.597916,time:9009
hit ratio:0.59871,time:9172
hit ratio:0.59941,time:9334
hit ratio:0.600017,time:9496
hit ratio:0.60073,time:9657
hit ratio:0.601282,time:9814
hit ratio:0.601883,time:9973
hit ratio:0.602473,time:10129
hit ratio:0.603123,time:10286
hit ratio:0.603636,time:10445
hit ratio:0.604147,time:10605
hit ratio:0.604585,time:10762
hit ratio:0.605059,time:10919
hit ratio:0.605508,time:11079
hit ratio:0.60584,time:11239
hit ratio:0.606245,time:11400
hit ratio:0.606618,time:11561
hit ratio:0.606984,time:11723
hit ratio:0.607432,time:11887
hit ratio:0.607891,time:12048
hit ratio:0.608351,time:12212
hit ratio:0.60867,time:12372
hit ratio:0.609041,time:12532
hit ratio:0.609408,time:12691
hit ratio:0.609685,time:12851
hit ratio:0.610002,time:13008
hit ratio:0.61033,time:13164
hit ratio:0.610564,time:13319
hit ratio:0.610861,time:13473
hit ratio:0.611134,time:13626
hit ratio:0.611402,time:13781
hit ratio:0.611705,time:13935
hit ratio:0.611972,time:14090
hit ratio:0.612231,time:14240
hit ratio:0.612472,time:14391
hit ratio:0.612714,time:14542
hit ratio:0.612873,time:14693
hit ratio:0.61305,time:14845
hit ratio:0.61333,time:15000
hit ratio:0.613558,time:15155
hit ratio:0.613704,time:15315
hit ratio:0.613897,time:15478
hit ratio:0.614086,time:15635
hit ratio:0.614348,time:15800
hit ratio:0.614571,time:15951
hit ratio:0.614807,time:16104
hit ratio:0.615068,time:16256
hit ratio:0.615322,time:16407
hit ratio:0.615553,time:16558
hit ratio:0.615762,time:16710
hit ratio:0.615957,time:16862
hit ratio:0.616154,time:17015
hit ratio:0.616323,time:17165
hit ratio:0.616498,time:17314
hit ratio:0.616649,time:17467
hit ratio:0.616776,time:17619
hit ratio:0.616947,time:17771
hit ratio:0.617093,time:17923
hit ratio:0.617243,time:18073
hit ratio:0.617432,time:18222
hit ratio:0.617579,time:18371
hit ratio:0.617744,time:18519
