Initializing Cache...FreeMem Rebalancing init. FreeMem.h-default Config
Cache Initialized. size: 32GB
hit ratio:0.48727,time:7710
hit ratio:0.56519,time:15369
hit ratio:0.60718,time:22865
hit ratio:0.64111,time:29868
hit ratio:0.669538,time:35757
hit ratio:0.689915,time:41617
hit ratio:0.703096,time:49476
hit ratio:0.708136,time:63427
hit ratio:0.713418,time:76804
hit ratio:0.723848,time:85573
hit ratio:0.734234,time:93951
hit ratio:0.744057,time:101981
hit ratio:0.752722,time:109270
hit ratio:0.760948,time:115722
hit ratio:0.768901,time:121278
hit ratio:0.776151,time:126523
hit ratio:0.781921,time:132814
hit ratio:0.785777,time:142947
hit ratio:0.787865,time:158775
hit ratio:0.791876,time:168569
hit ratio:0.795958,time:176494
hit ratio:0.800086,time:184211
hit ratio:0.804076,time:191277
hit ratio:0.808006,time:197792
hit ratio:0.811765,time:203436
hit ratio:0.815431,time:208283
hit ratio:0.818871,time:213378
hit ratio:0.821774,time:219268
hit ratio:0.823803,time:228704
hit ratio:0.824561,time:243916
hit ratio:0.826272,time:253697
hit ratio:0.828225,time:261113
hit ratio:0.830106,time:268259
hit ratio:0.831941,time:275278
hit ratio:0.833874,time:282238
hit ratio:0.835673,time:288492
hit ratio:0.837585,time:294161
hit ratio:0.839474,time:299576
hit ratio:0.841334,time:305886
hit ratio:0.842465,time:315703
hit ratio:0.842745,time:330986
hit ratio:0.843576,time:340546
hit ratio:0.84422,time:348479
hit ratio:0.844794,time:355509
hit ratio:0.845487,time:362426
hit ratio:0.846357,time:369550
hit ratio:0.847327,time:376203
hit ratio:0.848477,time:382084
hit ratio:0.84961,time:387854
hit ratio:0.85021,time:395074
hit ratio:0.849258,time:407637
hit ratio:0.848439,time:422022
hit ratio:0.848808,time:430751
hit ratio:0.849266,time:438172
hit ratio:0.849744,time:445437
hit ratio:0.850158,time:452477
hit ratio:0.85082,time:459483
hit ratio:0.851702,time:465718
hit ratio:0.852652,time:471292
hit ratio:0.853577,time:477013
hit ratio:0.853887,time:485619
hit ratio:0.853573,time:501261
hit ratio:0.854096,time:512324
hit ratio:0.854878,time:520335
hit ratio:0.855635,time:527959
hit ratio:0.856338,time:535507
hit ratio:0.857078,time:542930
hit ratio:0.857972,time:549568
hit ratio:0.859009,time:555430
hit ratio:0.859977,time:561489
hit ratio:0.860707,time:569514
hit ratio:0.860781,time:584161
hit ratio:0.86118,time:597152
hit ratio:0.862017,time:606037
hit ratio:0.862794,time:614361
hit ratio:0.863345,time:622176
hit ratio:0.863342,time:628884
hit ratio:0.863797,time:635165
hit ratio:0.864365,time:640673
hit ratio:0.86496,time:646064
hit ratio:0.865336,time:651824
hit ratio:0.865583,time:659407
hit ratio:0.865371,time:670670
hit ratio:0.865285,time:681056
hit ratio:0.865543,time:689144
hit ratio:0.86582,time:696339
hit ratio:0.866148,time:703204
hit ratio:0.86647,time:710104
hit ratio:0.867353,time:717169
hit ratio:0.86827,time:723736
hit ratio:0.869186,time:729646
hit ratio:0.870081,time:735708
hit ratio:0.8709,time:743383
hit ratio:0.871446,time:757331
hit ratio:0.871952,time:770848
hit ratio:0.872679,time:779728
hit ratio:0.873326,time:787673
hit ratio:0.874002,time:794952
hit ratio:0.874726,time:802101
