Initializing Cache...FreeMem Rebalancing init. FreeMem.h-default Config
Cache Initialized. size: 512MB
hit ratio:0.77358,time:50
hit ratio:0.80327,time:100
hit ratio:0.817633,time:151
hit ratio:0.827568,time:202
hit ratio:0.835168,time:252
hit ratio:0.840713,time:304
hit ratio:0.845481,time:355
hit ratio:0.849826,time:407
hit ratio:0.853441,time:458
hit ratio:0.856458,time:509
hit ratio:0.85899,time:562
hit ratio:0.861545,time:614
hit ratio:0.863422,time:664
hit ratio:0.865276,time:715
hit ratio:0.867526,time:768
hit ratio:0.869476,time:821
hit ratio:0.871189,time:874
hit ratio:0.872682,time:927
hit ratio:0.874221,time:980
hit ratio:0.875677,time:1032
hit ratio:0.877044,time:1084
hit ratio:0.878374,time:1136
hit ratio:0.879704,time:1186
hit ratio:0.880833,time:1238
hit ratio:0.881877,time:1290
hit ratio:0.882918,time:1343
hit ratio:0.88381,time:1396
hit ratio:0.884636,time:1446
hit ratio:0.88536,time:1498
hit ratio:0.886091,time:1552
hit ratio:0.886909,time:1604
hit ratio:0.887606,time:1656
hit ratio:0.888294,time:1709
hit ratio:0.888923,time:1761
hit ratio:0.889519,time:1815
hit ratio:0.890152,time:1869
hit ratio:0.890661,time:1924
hit ratio:0.891129,time:1979
hit ratio:0.891728,time:2031
hit ratio:0.89222,time:2086
hit ratio:0.892649,time:2141
hit ratio:0.893085,time:2197
hit ratio:0.893562,time:2254
hit ratio:0.894068,time:2309
hit ratio:0.894528,time:2365
hit ratio:0.894921,time:2421
hit ratio:0.895375,time:2477
hit ratio:0.895811,time:2533
hit ratio:0.896202,time:2588
hit ratio:0.896645,time:2643
hit ratio:0.897003,time:2700
hit ratio:0.897355,time:2756
hit ratio:0.897742,time:2814
hit ratio:0.898084,time:2871
hit ratio:0.898457,time:2928
hit ratio:0.898799,time:2985
hit ratio:0.899066,time:3043
hit ratio:0.899353,time:3099
hit ratio:0.899645,time:3154
hit ratio:0.899977,time:3210
hit ratio:0.900296,time:3262
hit ratio:0.900584,time:3315
hit ratio:0.900882,time:3369
hit ratio:0.901168,time:3423
hit ratio:0.901467,time:3477
hit ratio:0.901751,time:3532
hit ratio:0.902034,time:3586
hit ratio:0.902338,time:3640
hit ratio:0.902631,time:3694
hit ratio:0.902869,time:3749
hit ratio:0.903139,time:3803
hit ratio:0.903452,time:3855
hit ratio:0.903676,time:3908
hit ratio:0.903964,time:3960
hit ratio:0.904265,time:4012
hit ratio:0.904546,time:4064
hit ratio:0.904823,time:4117
hit ratio:0.905098,time:4169
hit ratio:0.905376,time:4222
hit ratio:0.905657,time:4274
hit ratio:0.905945,time:4326
hit ratio:0.906158,time:4378
hit ratio:0.906401,time:4430
hit ratio:0.906657,time:4481
hit ratio:0.906922,time:4531
hit ratio:0.907157,time:4583
hit ratio:0.907418,time:4635
hit ratio:0.907663,time:4687
hit ratio:0.907881,time:4739
hit ratio:0.908116,time:4791
hit ratio:0.908334,time:4843
hit ratio:0.908532,time:4895
hit ratio:0.90874,time:4947
hit ratio:0.908942,time:4999
hit ratio:0.909173,time:5046
hit ratio:0.909419,time:5093
hit ratio:0.909624,time:5142
hit ratio:0.909841,time:5192
hit ratio:0.910031,time:5242
hit ratio:0.910234,time:5293
hit ratio:0.910418,time:5344
hit ratio:0.910606,time:5395
hit ratio:0.910804,time:5447
hit ratio:0.910978,time:5497
hit ratio:0.911179,time:5547
hit ratio:0.911375,time:5596
hit ratio:0.911578,time:5646
hit ratio:0.911758,time:5695
hit ratio:0.911927,time:5745
hit ratio:0.912097,time:5795
hit ratio:0.912271,time:5845
hit ratio:0.912442,time:5894
hit ratio:0.912623,time:5942
hit ratio:0.912803,time:5992
hit ratio:0.91295,time:6041
hit ratio:0.91312,time:6091
hit ratio:0.913287,time:6141
hit ratio:0.913432,time:6191
hit ratio:0.913595,time:6240
hit ratio:0.913749,time:6288
hit ratio:0.913886,time:6337
hit ratio:0.914033,time:6386
hit ratio:0.914169,time:6437
hit ratio:0.914317,time:6487
hit ratio:0.914472,time:6538
hit ratio:0.91464,time:6587
hit ratio:0.914784,time:6637
hit ratio:0.914937,time:6687
hit ratio:0.915085,time:6737
hit ratio:0.915234,time:6787
hit ratio:0.915397,time:6833
hit ratio:0.915543,time:6878
hit ratio:0.915706,time:6924
hit ratio:0.915839,time:6972
hit ratio:0.915971,time:7021
hit ratio:0.916113,time:7070
hit ratio:0.916263,time:7118
hit ratio:0.916416,time:7167
hit ratio:0.916556,time:7216
hit ratio:0.916701,time:7264
hit ratio:0.91683,time:7313
hit ratio:0.916974,time:7361
hit ratio:0.917107,time:7410
hit ratio:0.917244,time:7458
hit ratio:0.917393,time:7505
hit ratio:0.917526,time:7553
hit ratio:0.917666,time:7600
hit ratio:0.917785,time:7648
hit ratio:0.917894,time:7697
hit ratio:0.918013,time:7743
hit ratio:0.918133,time:7793
hit ratio:0.918241,time:7843
hit ratio:0.918355,time:7893
hit ratio:0.918465,time:7944
hit ratio:0.918584,time:7994
hit ratio:0.918698,time:8041
hit ratio:0.918819,time:8088
hit ratio:0.918935,time:8134
hit ratio:0.919052,time:8181
hit ratio:0.919169,time:8227
hit ratio:0.919286,time:8273
hit ratio:0.919396,time:8318
hit ratio:0.919519,time:8364
hit ratio:0.919585,time:8409
hit ratio:0.919671,time:8454
hit ratio:0.919753,time:8500
hit ratio:0.919851,time:8544
hit ratio:0.919953,time:8589
hit ratio:0.920086,time:8631
hit ratio:0.920166,time:8675
hit ratio:0.920215,time:8719
hit ratio:0.920289,time:8764
hit ratio:0.920386,time:8810
hit ratio:0.920496,time:8856
hit ratio:0.920594,time:8901
hit ratio:0.920699,time:8946
hit ratio:0.9208,time:8992
hit ratio:0.920909,time:9037
hit ratio:0.921008,time:9082
hit ratio:0.921124,time:9126
hit ratio:0.921241,time:9170
hit ratio:0.921356,time:9214
hit ratio:0.921466,time:9258
hit ratio:0.921591,time:9303
hit ratio:0.921712,time:9349
hit ratio:0.921851,time:9391
hit ratio:0.921986,time:9435
hit ratio:0.922112,time:9479
hit ratio:0.922237,time:9521
hit ratio:0.922357,time:9565
hit ratio:0.922481,time:9609
hit ratio:0.922586,time:9654
hit ratio:0.922701,time:9698
hit ratio:0.922828,time:9743
hit ratio:0.922948,time:9789
hit ratio:0.923068,time:9834
hit ratio:0.923179,time:9880
hit ratio:0.9233,time:9924
hit ratio:0.923424,time:9969
hit ratio:0.923551,time:10014
hit ratio:0.923672,time:10059
hit ratio:0.923796,time:10102
hit ratio:0.923926,time:10143
hit ratio:0.924062,time:10185
hit ratio:0.924196,time:10227
hit ratio:0.924314,time:10270
hit ratio:0.924438,time:10314
hit ratio:0.924559,time:10358
hit ratio:0.924667,time:10402
hit ratio:0.924777,time:10441
hit ratio:0.924887,time:10481
hit ratio:0.92499,time:10523
hit ratio:0.925094,time:10566
hit ratio:0.925202,time:10608
hit ratio:0.925293,time:10651
hit ratio:0.925393,time:10694
hit ratio:0.925497,time:10736
hit ratio:0.925609,time:10779
hit ratio:0.925721,time:10824
hit ratio:0.925824,time:10868
hit ratio:0.925926,time:10912
hit ratio:0.926021,time:10956
hit ratio:0.926112,time:11001
hit ratio:0.926203,time:11045
hit ratio:0.926293,time:11090
hit ratio:0.9264,time:11132
hit ratio:0.9265,time:11177
hit ratio:0.926602,time:11221
hit ratio:0.926682,time:11265
hit ratio:0.926763,time:11309
hit ratio:0.926839,time:11354
hit ratio:0.926913,time:11399
hit ratio:0.926997,time:11444
hit ratio:0.927084,time:11489
hit ratio:0.927163,time:11534
hit ratio:0.92724,time:11580
hit ratio:0.927323,time:11625
hit ratio:0.927391,time:11669
hit ratio:0.927474,time:11712
hit ratio:0.927554,time:11756
hit ratio:0.927627,time:11800
hit ratio:0.927711,time:11843
hit ratio:0.927784,time:11886
hit ratio:0.927858,time:11929
hit ratio:0.927931,time:11972
hit ratio:0.928011,time:12015
hit ratio:0.928086,time:12058
hit ratio:0.928167,time:12100
hit ratio:0.928239,time:12144
hit ratio:0.928317,time:12188
hit ratio:0.928378,time:12229
hit ratio:0.928444,time:12272
hit ratio:0.92852,time:12315
hit ratio:0.928583,time:12357
hit ratio:0.928634,time:12401
hit ratio:0.928692,time:12443
hit ratio:0.928748,time:12486
hit ratio:0.9288,time:12529
hit ratio:0.928857,time:12572
RebStrtgy-pickVAndR...hit ratio:0.928911,time:12616
hit ratio:0.928956,time:12659
hit ratio:0.929009,time:12702
hit ratio:0.929058,time:12745
hit ratio:0.929109,time:12787
hit ratio:0.929158,time:12829
hit ratio:0.929203,time:12871
alloc failed. 12885,12123073661908731442,5655,185662330
RebStrtgy-pickVAndR...found class with alloc. failures. hold off started w/o triggering strategy specific pickVandRImp. v:2 r:20
hit ratio:0.929248,time:12914
hit ratio:0.929275,time:12957
hit ratio:0.929302,time:13000
hit ratio:0.929331,time:13042
hit ratio:0.929359,time:13085
hit ratio:0.929379,time:13126
hit ratio:0.92941,time:13168
hit ratio:0.929437,time:13209
hit ratio:0.929468,time:13250
hit ratio:0.929498,time:13291
hit ratio:0.929522,time:13333
hit ratio:0.929544,time:13375
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.929565,time:13417
hit ratio:0.929588,time:13458
hit ratio:0.929629,time:13500
hit ratio:0.929657,time:13542
hit ratio:0.929675,time:13585
hit ratio:0.929697,time:13628
hit ratio:0.929726,time:13670
hit ratio:0.929753,time:13711
hit ratio:0.929778,time:13753
hit ratio:0.92981,time:13794
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.929826,time:13836
hit ratio:0.929846,time:13877
hit ratio:0.929862,time:13918
hit ratio:0.929881,time:13960
hit ratio:0.929899,time:14002
hit ratio:0.929919,time:14040
hit ratio:0.929939,time:14079
hit ratio:0.929956,time:14120
hit ratio:0.929978,time:14161
hit ratio:0.929991,time:14201
hit ratio:0.930009,time:14244
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.930025,time:14285
hit ratio:0.930046,time:14328
hit ratio:0.93007,time:14369
hit ratio:0.93009,time:14412
hit ratio:0.930107,time:14454
hit ratio:0.930121,time:14497
hit ratio:0.930135,time:14540
hit ratio:0.930152,time:14583
hit ratio:0.930173,time:14625
hit ratio:0.930193,time:14668
hit ratio:0.930216,time:14711
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.930233,time:14754
hit ratio:0.930244,time:14798
hit ratio:0.930267,time:14841
hit ratio:0.93029,time:14885
hit ratio:0.930313,time:14927
hit ratio:0.930338,time:14969
hit ratio:0.930359,time:15012
hit ratio:0.930388,time:15053
hit ratio:0.93041,time:15097
hit ratio:0.930434,time:15140
hit ratio:0.93047,time:15180
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.930515,time:15220
hit ratio:0.930541,time:15262
hit ratio:0.930563,time:15303
hit ratio:0.930587,time:15346
hit ratio:0.930597,time:15390
hit ratio:0.930611,time:15433
hit ratio:0.930631,time:15476
hit ratio:0.930656,time:15518
hit ratio:0.93068,time:15560
hit ratio:0.930705,time:15602
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.930728,time:15644
hit ratio:0.930752,time:15687
hit ratio:0.930774,time:15729
hit ratio:0.930795,time:15772
hit ratio:0.930817,time:15813
hit ratio:0.930837,time:15853
hit ratio:0.93085,time:15894
hit ratio:0.930853,time:15935
hit ratio:0.93086,time:15976
hit ratio:0.930868,time:16018
hit ratio:0.930875,time:16060
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.930886,time:16100
hit ratio:0.930895,time:16139
hit ratio:0.930907,time:16180
hit ratio:0.930927,time:16221
hit ratio:0.930945,time:16262
hit ratio:0.930967,time:16304
hit ratio:0.930998,time:16344
hit ratio:0.931026,time:16385
hit ratio:0.931061,time:16424
hit ratio:0.931088,time:16465
hit ratio:0.931118,time:16505
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.931145,time:16546
hit ratio:0.931173,time:16587
hit ratio:0.93122,time:16623
hit ratio:0.931267,time:16660
hit ratio:0.931305,time:16699
hit ratio:0.931337,time:16736
hit ratio:0.931365,time:16776
hit ratio:0.931396,time:16816
hit ratio:0.931427,time:16856
hit ratio:0.931452,time:16897
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.931482,time:16938
hit ratio:0.931508,time:16979
hit ratio:0.931548,time:17019
hit ratio:0.931578,time:17060
hit ratio:0.931607,time:17102
hit ratio:0.931635,time:17143
hit ratio:0.931673,time:17184
hit ratio:0.931704,time:17225
hit ratio:0.931735,time:17266
hit ratio:0.931763,time:17308
hit ratio:0.931794,time:17350
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.931821,time:17392
hit ratio:0.931847,time:17434
hit ratio:0.931869,time:17476
hit ratio:0.931899,time:17517
hit ratio:0.93193,time:17558
hit ratio:0.93196,time:17600
hit ratio:0.931996,time:17637
hit ratio:0.932025,time:17675
hit ratio:0.932056,time:17715
hit ratio:0.932079,time:17755
hit ratio:0.932111,time:17795
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.932143,time:17836
hit ratio:0.932169,time:17876
hit ratio:0.932194,time:17917
hit ratio:0.932222,time:17956
hit ratio:0.932249,time:17997
hit ratio:0.932278,time:18037
hit ratio:0.932305,time:18078
hit ratio:0.93233,time:18119
hit ratio:0.93236,time:18160
hit ratio:0.93238,time:18201
hit ratio:0.932405,time:18240
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.932435,time:18280
hit ratio:0.932458,time:18321
hit ratio:0.932483,time:18363
hit ratio:0.932511,time:18402
hit ratio:0.932539,time:18442
hit ratio:0.932555,time:18482
hit ratio:0.932584,time:18521
hit ratio:0.93261,time:18562
hit ratio:0.932637,time:18602
hit ratio:0.932659,time:18642
hit ratio:0.932682,time:18684
RebStrtgy-pickVAndR...triggering pickVandRImp.
FreeMem-pickVAndRImpl...class total free memory smaller than threshold 12582912. ctx.v:-1. invalid ctx
hit ratio:0.932702,time:18726
hit ratio:0.932718,time:18767
hit ratio:0.93274,time:18808
hit ratio:0.932759,time:18848
hit ratio:0.932782,time:18889
hit ratio:0.932805,time:18931
hit ratio:0.932821,time:18972
hit ratio:0.932841,time:19013
hit ratio:0.93287,time:19052
hit ratio:0.932902,time:19090
hit ratio:0.932927,time:19128
RebStrtgy-pickVAndR...triggering pickVandRImp.
