Cache Initialized. size: 256MB
time,id,size
alloc failed. 49,18446744072053118689,1019737,3597941
alloc failed. 75,479917855,616427,127042
alloc failed. 93,18446744071934168961,1088120,71851
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.09729,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.095705,time:1502
hit ratio:0.0926567,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.0916125,time:3058
hit ratio:0.090882,time:3887
hit ratio:0.091015,time:4691
hit ratio:0.0909986,time:5499
hit ratio:0.0908613,time:6288
hit ratio:0.0905222,time:7069
hit ratio:0.090068,time:7850
hit ratio:0.08993,time:8632
hit ratio:0.0896233,time:9403
hit ratio:0.08942,time:10171
hit ratio:0.0893871,time:10958
hit ratio:0.0892827,time:11710
hit ratio:0.0889156,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.0884677,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.0881822,time:13989
hit ratio:0.0879842,time:14779
hit ratio:0.0878965,time:15563
hit ratio:0.0878462,time:16326
hit ratio:0.0877173,time:17096
hit ratio:0.0879804,time:17882
hit ratio:0.0880025,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.0879992,time:19404
hit ratio:0.0881796,time:20166
hit ratio:0.0885426,time:20916
hit ratio:0.0889711,time:21684
hit ratio:0.089591,time:22433
hit ratio:0.0900613,time:23194
hit ratio:0.0906013,time:23950
hit ratio:0.0910612,time:24700
hit ratio:0.0917264,time:25449
hit ratio:0.0921891,time:26192
hit ratio:0.092702,time:26922
hit ratio:0.0931786,time:27632
hit ratio:0.0936838,time:28328
hit ratio:0.09406,time:29007
hit ratio:0.0945444,time:29670
hit ratio:0.0949697,time:30328
hit ratio:0.0954541,time:30962
hit ratio:0.0960464,time:31590
hit ratio:0.0965281,time:32207
hit ratio:0.0969275,time:32829
hit ratio:0.0974,time:33441
hit ratio:0.0978978,time:34046
hit ratio:0.0982343,time:34657
hit ratio:0.0985752,time:35265
hit ratio:0.0989843,time:35879
hit ratio:0.099459,time:36490
hit ratio:0.0997608,time:37103
hit ratio:0.10007,time:37709
hit ratio:0.100334,time:38320
hit ratio:0.100499,time:38931
hit ratio:0.100652,time:39552
hit ratio:0.100766,time:40180
hit ratio:0.100832,time:40816
hit ratio:0.100902,time:41477
hit ratio:0.101033,time:42155
hit ratio:0.101093,time:42853
hit ratio:0.101161,time:43587
hit ratio:0.101179,time:44347
hit ratio:0.101096,time:45128
hit ratio:0.101088,time:45948
hit ratio:0.101093,time:46824
hit ratio:0.101146,time:47725
hit ratio:0.101115,time:48696
hit ratio:0.101213,time:49747
hit ratio:0.101281,time:50827
hit ratio:0.1013,time:51970
hit ratio:0.101336,time:53199
hit ratio:0.101479,time:54518
hit ratio:0.101537,time:55860
hit ratio:0.101494,time:57231
hit ratio:0.101672,time:58841
hit ratio:0.101923,time:60573
hit ratio:0.102509,time:62284
hit ratio:0.102723,time:64128
hit ratio:0.102697,time:65924
hit ratio:0.102581,time:67552
hit ratio:0.102476,time:69081
hit ratio:0.102387,time:70500
hit ratio:0.102338,time:71838
hit ratio:0.102345,time:73063
hit ratio:0.102346,time:74185
hit ratio:0.10237,time:75243
hit ratio:0.10239,time:76275
hit ratio:0.102463,time:77261
hit ratio:0.102511,time:78215
hit ratio:0.102574,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.102624,time:80051
hit ratio:0.102663,time:80948
hit ratio:0.102676,time:81839
hit ratio:0.102676,time:82705
hit ratio:0.102733,time:83577
hit ratio:0.10271,time:84442
hit ratio:0.102663,time:85308
hit ratio:0.102663,time:86174
hit ratio:0.102663,time:87040
hit ratio:0.102615,time:87900
hit ratio:0.102599,time:88767
hit ratio:0.102575,time:89637
hit ratio:0.102535,time:90508
hit ratio:0.102527,time:91374
hit ratio:0.102513,time:92227
hit ratio:0.102486,time:93075
hit ratio:0.102459,time:93916
hit ratio:0.102398,time:94749
hit ratio:0.102368,time:95584
hit ratio:0.102296,time:96405
hit ratio:0.102229,time:97227
hit ratio:0.102193,time:98056
hit ratio:0.102155,time:98877
hit ratio:0.10211,time:99690
hit ratio:0.102051,time:100502
hit ratio:0.102047,time:101312
hit ratio:0.10211,time:102104
hit ratio:0.102105,time:102901
hit ratio:0.102056,time:103693
