Hits Per Slab Rebalancing init. Cache Initialized. size: 16GB
hit ratio:0.48727,time:7710
hit ratio:0.56519,time:15369
hit ratio:0.60718,time:22865
hit ratio:0.64111,time:29868
hit ratio:0.669538,time:35757
hit ratio:0.689915,time:41617
hit ratio:0.703096,time:49476
hit ratio:0.708136,time:63427
hit ratio:0.713418,time:76804
hit ratio:0.723848,time:85573
hit ratio:0.734234,time:93951
hit ratio:0.744057,time:101981
hit ratio:0.752722,time:109270
hit ratio:0.760948,time:115722
hit ratio:0.768901,time:121278
hit ratio:0.776151,time:126523
hit ratio:0.781921,time:132814
hit ratio:0.785777,time:142947
hit ratio:0.787865,time:158775
hit ratio:0.791876,time:168569
hit ratio:0.795958,time:176494
hit ratio:0.800086,time:184211
hit ratio:0.804076,time:191277
hit ratio:0.808006,time:197792
hit ratio:0.811765,time:203436
hit ratio:0.815431,time:208283
hit ratio:0.818871,time:213378
hit ratio:0.821774,time:219268
hit ratio:0.823803,time:228704
hit ratio:0.824561,time:243916
hit ratio:0.826272,time:253697
hit ratio:0.828225,time:261113
hit ratio:0.830106,time:268259
hit ratio:0.831941,time:275278
hit ratio:0.833874,time:282238
hit ratio:0.835673,time:288492
hit ratio:0.837585,time:294161
hit ratio:0.839474,time:299576
hit ratio:0.841334,time:305886
hit ratio:0.842465,time:315703
hit ratio:0.842745,time:330986
hit ratio:0.843576,time:340546
hit ratio:0.84422,time:348479
hit ratio:0.844518,time:355509
hit ratio:0.844162,time:362426
hit ratio:0.843861,time:369550
hit ratio:0.843797,time:376203
hit ratio:0.844001,time:382084
hit ratio:0.844269,time:387854
hit ratio:0.843982,time:395074
hit ratio:0.842035,time:407637
hit ratio:0.840175,time:422022
hit ratio:0.839579,time:430751
hit ratio:0.839166,time:438172
hit ratio:0.83881,time:445437
hit ratio:0.838406,time:452477
hit ratio:0.838259,time:459483
hit ratio:0.838385,time:465718
hit ratio:0.838695,time:471292
hit ratio:0.839003,time:477013
hit ratio:0.838618,time:485619
hit ratio:0.83749,time:501261
hit ratio:0.837314,time:512324
hit ratio:0.837483,time:520335
hit ratio:0.837657,time:527959
hit ratio:0.837826,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.838015,time:542930
hit ratio:0.838363,time:549568
hit ratio:0.838925,time:555430
hit ratio:0.839487,time:561489
hit ratio:0.839756,time:569514
hit ratio:0.839231,time:584161
hit ratio:0.839105,time:597152
hit ratio:0.839517,time:606037
hit ratio:0.839873,time:614361
hit ratio:0.839995,time:622176
hit ratio:0.839563,time:628884
hit ratio:0.839531,time:635165
hit ratio:0.839576,time:640673
hit ratio:0.839675,time:646064
hit ratio:0.839567,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.839202,time:659407
hit ratio:0.838235,time:670670
hit ratio:0.837421,time:681056
hit ratio:0.837065,time:689144
hit ratio:0.836716,time:696339
hit ratio:0.836496,time:703204
hit ratio:0.836332,time:710104
hit ratio:0.83686,time:717169
hit ratio:0.83744,time:723736
hit ratio:0.838078,time:729646
hit ratio:0.838705,time:735708
hit ratio:0.839222,time:743383
hit ratio:0.83939,time:757331
hit ratio:0.839512,time:770848
hit ratio:0.839957,time:779728
hit ratio:0.840322,time:787673
