Cache Initialized. size: 1GB
hit ratio:0.34976,time:25071
hit ratio:0.35137,time:52484
hit ratio:0.328307,time:65390
hit ratio:0.31083,time:74718
hit ratio:0.301742,time:84560
hit ratio:0.297143,time:94560
hit ratio:0.311849,time:119293
hit ratio:0.315435,time:141277
hit ratio:0.311731,time:151799
hit ratio:0.307457,time:160865
hit ratio:0.304132,time:170053
hit ratio:0.29858,time:176472
hit ratio:0.302267,time:193108
hit ratio:0.306969,time:216336
hit ratio:0.308127,time:232657
hit ratio:0.305018,time:241609
hit ratio:0.303197,time:251325
hit ratio:0.301536,time:261331
hit ratio:0.299058,time:268835
hit ratio:0.301429,time:288242
hit ratio:0.303047,time:309243
hit ratio:0.302744,time:322260
hit ratio:0.301163,time:331605
hit ratio:0.300395,time:341995
hit ratio:0.299044,time:349137
hit ratio:0.300915,time:366630
hit ratio:0.303385,time:389342
hit ratio:0.304226,time:406829
hit ratio:0.303014,time:417447
hit ratio:0.302081,time:428458
hit ratio:0.300478,time:436584
hit ratio:0.302698,time:461748
hit ratio:0.305746,time:488707
hit ratio:0.307587,time:508475
hit ratio:0.308892,time:528818
EOF
hit ratio:0.313347,time:563371
num_requests:3587707,throughput:6.36828reqs/sec,
