Hits Per Slab Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.50311,time:19139
hit ratio:0.38952,time:21914
hit ratio:0.395623,time:30152
hit ratio:0.33206,time:35987
hit ratio:0.35692,time:51411
hit ratio:0.390385,time:73062
hit ratio:0.37649,time:79425
hit ratio:0.380713,time:94670
hit ratio:0.38682,time:105489
hit ratio:0.378683,time:108701
hit ratio:0.378262,time:122834
hit ratio:0.360632,time:127124
hit ratio:0.375333,time:144411
hit ratio:0.388776,time:166367
hit ratio:0.3738,time:166872
hit ratio:0.382676,time:181208
hit ratio:0.382919,time:198113
hit ratio:0.375368,time:210093
hit ratio:0.369379,time:220764
hit ratio:0.372297,time:238112
hit ratio:0.375039,time:253603
hit ratio:0.372717,time:264004
hit ratio:0.379211,time:282731
hit ratio:0.372365,time:287225
hit ratio:0.365049,time:297378
hit ratio:0.365587,time:310447
hit ratio:0.372768,time:328893
hit ratio:0.367575,time:340859
hit ratio:0.371194,time:358210
hit ratio:0.374208,time:372629
hit ratio:0.371769,time:379221
hit ratio:0.364524,time:384424
hit ratio:0.367619,time:393413
hit ratio:0.371973,time:409680
hit ratio:0.377348,time:423528
hit ratio:0.371736,time:431452
hit ratio:0.376288,time:452982
hit ratio:0.372615,time:454516
hit ratio:0.371549,time:462775
hit ratio:0.368124,time:471286
hit ratio:0.362655,time:474557
hit ratio:0.366106,time:489276
hit ratio:0.372078,time:508774
hit ratio:0.368386,time:515126
hit ratio:0.370031,time:525497
hit ratio:0.372361,time:540478
hit ratio:0.370883,time:551344
hit ratio:0.367175,time:558478
hit ratio:0.365666,time:559895
hit ratio:0.366572,time:577520
hit ratio:0.372517,time:599451
hit ratio:0.367805,time:602272
EOF
hit ratio:0.36641,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
