LruTailAge Rebalancing init. Cache Initialized. size: 16GB
hit ratio:0.7554,time:12215
hit ratio:0.7289,time:22898
hit ratio:0.77796,time:35355
hit ratio:0.81006,time:48107
hit ratio:0.805222,time:59033
hit ratio:0.805267,time:74433
hit ratio:0.781136,time:82895
hit ratio:0.766256,time:89553
hit ratio:0.758337,time:96823
hit ratio:0.743667,time:102905
hit ratio:0.733118,time:109354
hit ratio:0.737493,time:119040
hit ratio:0.750665,time:134134
hit ratio:0.754882,time:150274
hit ratio:0.759112,time:162756
hit ratio:0.771268,time:178579
hit ratio:0.777367,time:189158
hit ratio:0.782217,time:195133
hit ratio:0.788562,time:203597
hit ratio:0.796633,time:215225
hit ratio:0.804196,time:227784
hit ratio:0.80916,time:237553
hit ratio:0.806625,time:247837
hit ratio:0.809902,time:260892
hit ratio:0.816366,time:274392
hit ratio:0.822605,time:288679
hit ratio:0.828193,time:305006
hit ratio:0.832419,time:315657
hit ratio:0.836698,time:332694
hit ratio:0.841746,time:352257
hit ratio:0.842013,time:364248
hit ratio:0.841843,time:371352
hit ratio:0.845942,time:384750
hit ratio:0.831431,time:388181
hit ratio:0.811903,time:388645
hit ratio:0.80454,time:394432
hit ratio:0.803892,time:404764
hit ratio:0.805603,time:424596
hit ratio:0.808758,time:443725
hit ratio:0.81208,time:462853
hit ratio:0.815843,time:483544
hit ratio:0.817944,time:496102
hit ratio:0.821421,time:515169
hit ratio:0.824575,time:533435
hit ratio:0.827808,time:552314
hit ratio:0.831003,time:571687
hit ratio:0.833687,time:586701
hit ratio:0.836425,time:604084
EOF
hit ratio:0.836837,time:606685
num_requests:4814234,throughput:7.93531reqs/sec,
