FreeMem Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 7738871,101281960,782336,9223372036854775807
hit ratio:0.43723,time:2405
hit ratio:0.4896,time:2984
hit ratio:0.50409,time:20997
hit ratio:0.510903,time:39572
hit ratio:0.498568,time:56638
hit ratio:0.53014,time:83728
hit ratio:0.552403,time:107382
hit ratio:0.5836,time:135941
hit ratio:0.578252,time:156991
hit ratio:0.592956,time:181038
hit ratio:0.610588,time:207072
hit ratio:0.608595,time:228438
hit ratio:0.617533,time:258141
hit ratio:0.628487,time:281430
hit ratio:0.633286,time:305429
hit ratio:0.628831,time:326189
hit ratio:0.634529,time:350566
hit ratio:0.643236,time:376841
hit ratio:0.642255,time:401254
hit ratio:0.637828,time:419428
hit ratio:0.647156,time:450811
hit ratio:0.648297,time:468570
hit ratio:0.644709,time:490409
hit ratio:0.653162,time:523842
hit ratio:0.653984,time:543777
hit ratio:0.659667,time:568152
hit ratio:0.664087,time:568235
hit ratio:0.662648,time:568414
hit ratio:0.658796,time:571815
hit ratio:0.639515,time:571982
hit ratio:0.619277,time:572127
hit ratio:0.601018,time:572264
hit ratio:0.584607,time:572393
hit ratio:0.568341,time:572581
hit ratio:0.55506,time:574109
hit ratio:0.558102,time:598283
EOF
hit ratio:0.560298,time:607175
num_requests:3625918,throughput:5.97178reqs/sec,
