Hits Per Slab Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.5064,time:19139
hit ratio:0.39124,time:21914
hit ratio:0.3976,time:30152
hit ratio:0.333847,time:35987
hit ratio:0.35899,time:51411
hit ratio:0.393343,time:73062
hit ratio:0.37981,time:79425
hit ratio:0.3844,time:94670
hit ratio:0.391169,time:105489
hit ratio:0.383137,time:108701
hit ratio:0.382542,time:122834
hit ratio:0.364837,time:127124
hit ratio:0.379065,time:144411
hit ratio:0.392953,time:166367
hit ratio:0.377577,time:166872
hit ratio:0.385941,time:181208
hit ratio:0.385851,time:198113
hit ratio:0.378148,time:210093
hit ratio:0.372112,time:220764
hit ratio:0.375185,time:238112
hit ratio:0.377947,time:253603
hit ratio:0.375528,time:264004
hit ratio:0.381816,time:282731
hit ratio:0.374924,time:287225
hit ratio:0.367558,time:297378
hit ratio:0.368182,time:310447
hit ratio:0.375425,time:328893
hit ratio:0.370207,time:340859
hit ratio:0.373892,time:358210
hit ratio:0.376792,time:372629
hit ratio:0.374369,time:379221
hit ratio:0.367135,time:384424
hit ratio:0.370396,time:393413
hit ratio:0.374902,time:409680
hit ratio:0.380505,time:423528
hit ratio:0.374884,time:431452
hit ratio:0.380036,time:452982
hit ratio:0.37645,time:454516
hit ratio:0.375283,time:462775
hit ratio:0.371807,time:471286
hit ratio:0.366278,time:474557
hit ratio:0.369711,time:489276
hit ratio:0.375677,time:508774
hit ratio:0.371951,time:515126
hit ratio:0.373615,time:525497
hit ratio:0.375946,time:540478
hit ratio:0.374443,time:551344
hit ratio:0.370705,time:558478
hit ratio:0.369175,time:559895
hit ratio:0.370155,time:577520
hit ratio:0.37607,time:599451
hit ratio:0.371339,time:602272
EOF
hit ratio:0.369889,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
