Cache Initialized. size: 64GB
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.393678,time:3887
hit ratio:0.416513,time:4691
hit ratio:0.43591,time:5499
hit ratio:0.45304,time:6288
hit ratio:0.467267,time:7069
hit ratio:0.480535,time:7850
hit ratio:0.492839,time:8632
hit ratio:0.503506,time:9403
hit ratio:0.513258,time:10171
hit ratio:0.522626,time:10958
hit ratio:0.530755,time:11710
hit ratio:0.53775,time:12459
hit ratio:0.544011,time:13218
hit ratio:0.550136,time:13989
hit ratio:0.555947,time:14779
hit ratio:0.561342,time:15563
hit ratio:0.566362,time:16326
hit ratio:0.570902,time:17096
hit ratio:0.575873,time:17882
hit ratio:0.580347,time:18651
hit ratio:0.584313,time:19404
hit ratio:0.588259,time:20166
hit ratio:0.592259,time:20916
hit ratio:0.596351,time:21684
hit ratio:0.600384,time:22433
hit ratio:0.604339,time:23194
hit ratio:0.608221,time:23950
hit ratio:0.611961,time:24700
hit ratio:0.615462,time:25449
hit ratio:0.618815,time:26192
hit ratio:0.622176,time:26922
hit ratio:0.625491,time:27632
hit ratio:0.628726,time:28328
hit ratio:0.631938,time:29007
hit ratio:0.635069,time:29670
hit ratio:0.637991,time:30328
hit ratio:0.641014,time:30962
hit ratio:0.644034,time:31590
hit ratio:0.646883,time:32207
hit ratio:0.649656,time:32829
hit ratio:0.652376,time:33441
hit ratio:0.655082,time:34046
hit ratio:0.657627,time:34657
hit ratio:0.660165,time:35265
hit ratio:0.662659,time:35879
hit ratio:0.665097,time:36490
hit ratio:0.667339,time:37103
hit ratio:0.66954,time:37709
hit ratio:0.671708,time:38320
hit ratio:0.673829,time:38931
hit ratio:0.675846,time:39552
hit ratio:0.677725,time:40180
hit ratio:0.679604,time:40816
hit ratio:0.681408,time:41477
hit ratio:0.683099,time:42155
hit ratio:0.6847,time:42853
hit ratio:0.686325,time:43587
hit ratio:0.687825,time:44347
hit ratio:0.689083,time:45128
hit ratio:0.690453,time:45948
hit ratio:0.691655,time:46824
hit ratio:0.69274,time:47725
hit ratio:0.693764,time:48696
hit ratio:0.694898,time:49747
hit ratio:0.695846,time:50827
hit ratio:0.696696,time:51970
hit ratio:0.697507,time:53199
hit ratio:0.698151,time:54518
hit ratio:0.698697,time:55860
hit ratio:0.698992,time:57231
hit ratio:0.699362,time:58841
hit ratio:0.699616,time:60573
hit ratio:0.700105,time:62284
hit ratio:0.700474,time:64128
hit ratio:0.700817,time:65924
hit ratio:0.701063,time:67552
hit ratio:0.701414,time:69081
hit ratio:0.701857,time:70500
hit ratio:0.702442,time:71838
hit ratio:0.703123,time:73063
hit ratio:0.703889,time:74185
hit ratio:0.704761,time:75243
hit ratio:0.705718,time:76275
hit ratio:0.706772,time:77261
hit ratio:0.707849,time:78215
hit ratio:0.708925,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.709957,time:80051
hit ratio:0.710973,time:80948
hit ratio:0.711965,time:81839
hit ratio:0.712924,time:82705
hit ratio:0.714017,time:83577
hit ratio:0.715057,time:84442
hit ratio:0.716083,time:85308
hit ratio:0.717094,time:86174
hit ratio:0.718078,time:87040
hit ratio:0.719013,time:87900
hit ratio:0.720006,time:88767
hit ratio:0.720972,time:89637
hit ratio:0.721932,time:90508
hit ratio:0.722882,time:91374
hit ratio:0.723835,time:92227
hit ratio:0.724727,time:93075
hit ratio:0.725655,time:93916
hit ratio:0.726519,time:94749
hit ratio:0.72737,time:95584
hit ratio:0.728191,time:96405
hit ratio:0.729049,time:97227
hit ratio:0.729928,time:98056
hit ratio:0.730819,time:98877
hit ratio:0.731647,time:99690
hit ratio:0.732485,time:100502
hit ratio:0.733278,time:101312
hit ratio:0.734058,time:102104
hit ratio:0.734822,time:102901
hit ratio:0.735565,time:103693
hit ratio:0.736283,time:104476
hit ratio:0.737033,time:105238
hit ratio:0.737757,time:105994
hit ratio:0.738474,time:106743
hit ratio:0.739212,time:107474
hit ratio:0.7399,time:108170
hit ratio:0.740583,time:108872
hit ratio:0.741239,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.741928,time:110283
hit ratio:0.742644,time:110970
hit ratio:0.743351,time:111643
hit ratio:0.744014,time:112307
hit ratio:0.744685,time:112970
hit ratio:0.745342,time:113627
hit ratio:0.746016,time:114270
hit ratio:0.746722,time:114894
hit ratio:0.747412,time:115510
hit ratio:0.748083,time:116124
hit ratio:0.748746,time:116724
hit ratio:0.74938,time:117305
hit ratio:0.749976,time:117897
hit ratio:0.750603,time:118476
hit ratio:0.751256,time:119042
hit ratio:0.751921,time:119593
hit ratio:0.752546,time:120143
hit ratio:0.753168,time:120686
hit ratio:0.753805,time:121213
hit ratio:0.754441,time:121753
hit ratio:0.755047,time:122295
hit ratio:0.755647,time:122833
hit ratio:0.756255,time:123358
hit ratio:0.756843,time:123891
hit ratio:0.757398,time:124445
hit ratio:0.757907,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.758444,time:125566
hit ratio:0.75894,time:126120
hit ratio:0.759451,time:126691
hit ratio:0.759944,time:127291
hit ratio:0.760407,time:127896
hit ratio:0.760881,time:128525
hit ratio:0.76129,time:129168
hit ratio:0.761709,time:129821
hit ratio:0.762091,time:130476
hit ratio:0.762425,time:131153
hit ratio:0.762746,time:131866
hit ratio:0.763086,time:132608
