FreeMem Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 67,11025283874625056042,4690414,5906
alloc failed. 67,11025283874625056042,4690414,7538
alloc failed. 81,6000385553305814611,432,9223372036854775807
alloc failed. 87,11025283874625056042,4690414,20591
alloc failed. 163,8628608183558092006,4734802,2750014
alloc failed. 164,11851004379361116124,337,1622594
alloc failed. 218,3341776155824235211,317,24620
alloc failed. 452,3974051271270075602,424,205354338
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.13753,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.145785,time:944
alloc failed. 998,12682468557924405921,8141905,230583
hit ratio:0.147903,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.148648,time:1320
hit ratio:0.14974,time:1514
hit ratio:0.150243,time:1701
hit ratio:0.150546,time:1889
hit ratio:0.150105,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.150538,time:2263
hit ratio:0.150629,time:2449
hit ratio:0.150997,time:2632
hit ratio:0.151599,time:2819
hit ratio:0.1523,time:3010
hit ratio:0.152427,time:3207
hit ratio:0.152866,time:3400
hit ratio:0.152974,time:3592
hit ratio:0.153108,time:3785
hit ratio:0.153167,time:3976
hit ratio:0.15339,time:4166
hit ratio:0.153534,time:4351
hit ratio:0.153336,time:4541
hit ratio:0.153173,time:4730
hit ratio:0.153308,time:4921
hit ratio:0.153695,time:5115
hit ratio:0.154356,time:5307
hit ratio:0.154673,time:5496
hit ratio:0.15509,time:5685
alloc failed. 5761,12682468557924405921,8141905,2743210
hit ratio:0.155289,time:5870
hit ratio:0.155681,time:6054
hit ratio:0.156027,time:6237
hit ratio:0.156163,time:6419
hit ratio:0.156423,time:6602
hit ratio:0.15656,time:6781
hit ratio:0.156604,time:6961
hit ratio:0.156651,time:7139
hit ratio:0.156542,time:7316
hit ratio:0.156607,time:7491
hit ratio:0.156694,time:7666
hit ratio:0.156647,time:7837
hit ratio:0.156546,time:8007
hit ratio:0.156511,time:8178
hit ratio:0.156422,time:8349
hit ratio:0.156304,time:8516
hit ratio:0.156258,time:8681
hit ratio:0.156239,time:8845
hit ratio:0.156196,time:9009
hit ratio:0.156145,time:9172
hit ratio:0.156061,time:9334
hit ratio:0.155964,time:9496
hit ratio:0.155927,time:9657
hit ratio:0.155871,time:9814
hit ratio:0.15584,time:9973
hit ratio:0.155819,time:10129
hit ratio:0.155811,time:10286
hit ratio:0.15572,time:10445
hit ratio:0.155685,time:10605
hit ratio:0.155578,time:10762
hit ratio:0.155487,time:10919
hit ratio:0.155397,time:11079
hit ratio:0.155215,time:11239
hit ratio:0.155078,time:11400
hit ratio:0.154962,time:11561
hit ratio:0.154894,time:11723
hit ratio:0.154869,time:11887
hit ratio:0.154878,time:12048
hit ratio:0.154717,time:12212
hit ratio:0.154576,time:12372
hit ratio:0.154443,time:12532
hit ratio:0.15438,time:12691
hit ratio:0.154222,time:12851
hit ratio:0.154139,time:13008
hit ratio:0.153991,time:13164
hit ratio:0.153877,time:13319
hit ratio:0.153819,time:13473
hit ratio:0.153719,time:13626
hit ratio:0.153629,time:13781
hit ratio:0.153507,time:13935
hit ratio:0.153395,time:14090
hit ratio:0.153289,time:14240
hit ratio:0.153136,time:14391
hit ratio:0.152955,time:14542
hit ratio:0.152799,time:14693
hit ratio:0.152608,time:14845
hit ratio:0.152473,time:15000
hit ratio:0.152293,time:15155
hit ratio:0.152141,time:15315
hit ratio:0.152005,time:15478
hit ratio:0.151823,time:15635
hit ratio:0.151687,time:15800
hit ratio:0.151524,time:15951
hit ratio:0.151367,time:16104
hit ratio:0.151238,time:16256
hit ratio:0.151079,time:16407
hit ratio:0.151004,time:16558
hit ratio:0.150879,time:16710
hit ratio:0.150749,time:16862
hit ratio:0.150599,time:17015
hit ratio:0.150484,time:17165
hit ratio:0.150409,time:17314
hit ratio:0.150317,time:17467
hit ratio:0.150199,time:17619
hit ratio:0.150068,time:17771
hit ratio:0.149939,time:17923
hit ratio:0.14979,time:18073
hit ratio:0.149663,time:18222
hit ratio:0.149508,time:18371
hit ratio:0.149375,time:18519
hit ratio:0.149222,time:18668
hit ratio:0.149099,time:18816
hit ratio:0.148977,time:18963
hit ratio:0.148869,time:19111
hit ratio:0.148706,time:19259
hit ratio:0.148523,time:19424
hit ratio:0.148451,time:19573
hit ratio:0.148377,time:19721
hit ratio:0.148274,time:19869
hit ratio:0.148198,time:20018
hit ratio:0.14807,time:20166
hit ratio:0.147916,time:20317
hit ratio:0.147792,time:20466
hit ratio:0.147671,time:20617
hit ratio:0.147582,time:20768
hit ratio:0.147512,time:20917
hit ratio:0.147431,time:21067
hit ratio:0.147308,time:21218
hit ratio:0.147219,time:21371
hit ratio:0.147117,time:21522
hit ratio:0.147034,time:21674
hit ratio:0.146893,time:21829
hit ratio:0.146792,time:21984
hit ratio:0.146679,time:22139
hit ratio:0.146553,time:22294
hit ratio:0.14643,time:22451
hit ratio:0.146324,time:22609
hit ratio:0.146221,time:22769
hit ratio:0.146163,time:22930
hit ratio:0.146095,time:23093
hit ratio:0.146009,time:23255
hit ratio:0.145904,time:23418
hit ratio:0.145777,time:23585
hit ratio:0.145662,time:23752
hit ratio:0.145561,time:23919
hit ratio:0.145449,time:24091
hit ratio:0.145322,time:24264
hit ratio:0.145264,time:24439
hit ratio:0.145192,time:24616
hit ratio:0.145077,time:24797
hit ratio:0.144969,time:24982
hit ratio:0.144866,time:25166
hit ratio:0.144767,time:25353
hit ratio:0.144672,time:25544
hit ratio:0.144589,time:25738
hit ratio:0.144481,time:25937
hit ratio:0.144451,time:26138
hit ratio:0.144453,time:26343
hit ratio:0.14448,time:26572
hit ratio:0.144481,time:26778
hit ratio:0.144457,time:27002
hit ratio:0.14443,time:27235
hit ratio:0.144435,time:27478
hit ratio:0.144458,time:27729
hit ratio:0.144451,time:27987
hit ratio:0.144438,time:28264
hit ratio:0.144417,time:28554
hit ratio:0.144365,time:28853
hit ratio:0.144342,time:29163
hit ratio:0.144327,time:29494
hit ratio:0.144295,time:29848
hit ratio:0.144264,time:30215
hit ratio:0.144239,time:30605
hit ratio:0.144227,time:31018
hit ratio:0.14421,time:31456
hit ratio:0.144225,time:31942
hit ratio:0.144229,time:32465
hit ratio:0.14422,time:33040
hit ratio:0.144202,time:33673
hit ratio:0.144205,time:34375
hit ratio:0.144212,time:35152
hit ratio:0.144236,time:36005
hit ratio:0.144287,time:37013
hit ratio:0.144349,time:38144
hit ratio:0.144416,time:39435
hit ratio:0.144475,time:40952
hit ratio:0.144544,time:42716
hit ratio:0.144635,time:44761
hit ratio:0.144735,time:46894
hit ratio:0.144811,time:48872
hit ratio:0.144873,time:50470
hit ratio:0.144942,time:51687
hit ratio:0.144952,time:52613
hit ratio:0.144925,time:53355
hit ratio:0.144894,time:53987
hit ratio:0.144857,time:54559
hit ratio:0.144835,time:55052
hit ratio:0.144831,time:55493
hit ratio:0.14481,time:55891
hit ratio:0.144782,time:56275
hit ratio:0.144749,time:56645
hit ratio:0.144696,time:56996
hit ratio:0.144657,time:57329
hit ratio:0.144604,time:57658
hit ratio:0.144548,time:57979
hit ratio:0.144529,time:58293
hit ratio:0.14448,time:58600
hit ratio:0.144441,time:58904
hit ratio:0.144416,time:59204
hit ratio:0.144451,time:59501
hit ratio:0.144496,time:59793
hit ratio:0.144551,time:60086
hit ratio:0.144629,time:60378
hit ratio:0.144696,time:60666
hit ratio:0.144751,time:60994
hit ratio:0.144781,time:61361
hit ratio:0.144765,time:63846
hit ratio:0.144793,time:64520
hit ratio:0.144877,time:64796
hit ratio:0.144969,time:65044
hit ratio:0.14505,time:65290
hit ratio:0.145131,time:65537
hit ratio:0.145221,time:65785
hit ratio:0.145337,time:66027
