Cache Initialized. size: 512MB
time,id,size
alloc failed. 218,3341776155824235211,317,24620
alloc failed. 286,3341776155824235211,317,52364
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.17206,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.188795,time:944
hit ratio:0.195403,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.19873,time:1320
hit ratio:0.20104,time:1514
hit ratio:0.202427,time:1701
hit ratio:0.203309,time:1889
hit ratio:0.203141,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.203974,time:2263
hit ratio:0.204341,time:2449
hit ratio:0.205021,time:2632
hit ratio:0.205886,time:2819
hit ratio:0.20692,time:3010
hit ratio:0.207331,time:3207
hit ratio:0.207969,time:3400
hit ratio:0.208281,time:3592
hit ratio:0.208552,time:3785
hit ratio:0.208834,time:3976
hit ratio:0.209123,time:4166
hit ratio:0.209484,time:4351
hit ratio:0.20938,time:4541
hit ratio:0.209398,time:4730
hit ratio:0.209631,time:4921
hit ratio:0.210165,time:5115
hit ratio:0.210916,time:5307
hit ratio:0.211364,time:5496
hit ratio:0.211855,time:5685
hit ratio:0.212144,time:5870
hit ratio:0.212628,time:6054
hit ratio:0.213021,time:6237
hit ratio:0.21322,time:6419
hit ratio:0.21358,time:6602
hit ratio:0.21377,time:6781
hit ratio:0.213846,time:6961
hit ratio:0.213934,time:7139
hit ratio:0.213852,time:7316
hit ratio:0.213963,time:7491
hit ratio:0.214099,time:7666
hit ratio:0.214046,time:7837
hit ratio:0.213946,time:8007
hit ratio:0.213919,time:8178
hit ratio:0.213847,time:8349
hit ratio:0.213763,time:8516
hit ratio:0.213746,time:8681
hit ratio:0.213755,time:8845
hit ratio:0.213726,time:9009
hit ratio:0.213666,time:9172
hit ratio:0.213577,time:9334
hit ratio:0.213478,time:9496
hit ratio:0.213448,time:9657
hit ratio:0.213388,time:9814
hit ratio:0.213383,time:9973
hit ratio:0.213365,time:10129
hit ratio:0.213359,time:10286
hit ratio:0.213264,time:10445
hit ratio:0.213236,time:10605
hit ratio:0.213079,time:10762
hit ratio:0.212979,time:10919
hit ratio:0.212864,time:11079
hit ratio:0.212655,time:11239
hit ratio:0.212515,time:11400
hit ratio:0.212393,time:11561
hit ratio:0.2123,time:11723
hit ratio:0.212262,time:11887
hit ratio:0.212258,time:12048
hit ratio:0.212079,time:12212
hit ratio:0.211937,time:12372
hit ratio:0.21179,time:12532
hit ratio:0.211714,time:12691
hit ratio:0.211516,time:12851
hit ratio:0.211401,time:13008
hit ratio:0.21126,time:13164
hit ratio:0.21112,time:13319
hit ratio:0.211045,time:13473
hit ratio:0.210924,time:13626
hit ratio:0.210829,time:13781
hit ratio:0.210686,time:13935
hit ratio:0.210575,time:14090
hit ratio:0.210461,time:14240
hit ratio:0.210305,time:14391
hit ratio:0.210122,time:14542
hit ratio:0.209944,time:14693
hit ratio:0.209737,time:14845
hit ratio:0.209581,time:15000
hit ratio:0.209388,time:15155
hit ratio:0.209202,time:15315
hit ratio:0.209041,time:15478
hit ratio:0.208843,time:15635
hit ratio:0.208701,time:15800
hit ratio:0.208522,time:15951
hit ratio:0.208347,time:16104
hit ratio:0.208211,time:16256
hit ratio:0.208052,time:16407
hit ratio:0.207942,time:16558
hit ratio:0.207806,time:16710
hit ratio:0.207638,time:16862
hit ratio:0.20747,time:17015
hit ratio:0.207344,time:17165
hit ratio:0.207254,time:17314
hit ratio:0.20714,time:17467
hit ratio:0.207009,time:17619
hit ratio:0.20688,time:17771
hit ratio:0.206731,time:17923
hit ratio:0.206562,time:18073
hit ratio:0.206425,time:18222
hit ratio:0.206243,time:18371
hit ratio:0.206102,time:18519
hit ratio:0.205932,time:18668
hit ratio:0.205793,time:18816
hit ratio:0.20567,time:18963
hit ratio:0.205557,time:19111
hit ratio:0.205364,time:19259
hit ratio:0.205167,time:19424
hit ratio:0.205083,time:19573
hit ratio:0.204991,time:19721
hit ratio:0.204873,time:19869
hit ratio:0.204773,time:20018
hit ratio:0.20463,time:20166
hit ratio:0.204455,time:20317
hit ratio:0.204315,time:20466
hit ratio:0.204187,time:20617
hit ratio:0.2041,time:20768
hit ratio:0.204015,time:20917
hit ratio:0.203936,time:21067
hit ratio:0.203809,time:21218
hit ratio:0.203712,time:21371
hit ratio:0.203602,time:21522
hit ratio:0.203515,time:21674
hit ratio:0.203372,time:21829
hit ratio:0.203259,time:21984
hit ratio:0.20314,time:22139
hit ratio:0.203008,time:22294
hit ratio:0.202872,time:22451
hit ratio:0.202762,time:22609
hit ratio:0.202664,time:22769
hit ratio:0.202596,time:22930
hit ratio:0.202515,time:23093
hit ratio:0.202422,time:23255
hit ratio:0.202305,time:23418
hit ratio:0.202187,time:23585
hit ratio:0.202068,time:23752
hit ratio:0.201961,time:23919
hit ratio:0.201838,time:24091
hit ratio:0.201707,time:24264
hit ratio:0.201643,time:24439
hit ratio:0.20156,time:24616
hit ratio:0.201433,time:24797
hit ratio:0.201316,time:24982
hit ratio:0.201207,time:25166
hit ratio:0.201102,time:25353
hit ratio:0.200992,time:25544
hit ratio:0.200896,time:25738
hit ratio:0.200787,time:25937
hit ratio:0.200745,time:26138
hit ratio:0.200738,time:26343
hit ratio:0.200755,time:26572
hit ratio:0.200747,time:26778
hit ratio:0.200714,time:27002
hit ratio:0.200673,time:27235
hit ratio:0.200666,time:27478
hit ratio:0.200682,time:27729
hit ratio:0.200666,time:27987
hit ratio:0.200631,time:28264
hit ratio:0.200593,time:28554
hit ratio:0.200521,time:28853
hit ratio:0.200468,time:29163
hit ratio:0.200434,time:29494
hit ratio:0.200367,time:29848
hit ratio:0.200303,time:30215
hit ratio:0.200238,time:30605
hit ratio:0.200191,time:31018
hit ratio:0.200131,time:31456
hit ratio:0.200102,time:31942
hit ratio:0.200052,time:32465
hit ratio:0.199975,time:33040
hit ratio:0.199886,time:33673
hit ratio:0.199808,time:34375
hit ratio:0.199723,time:35152
hit ratio:0.199655,time:36005
hit ratio:0.19962,time:37013
hit ratio:0.19957,time:38144
hit ratio:0.199524,time:39435
hit ratio:0.199448,time:40952
hit ratio:0.199369,time:42716
hit ratio:0.199312,time:44761
hit ratio:0.199258,time:46894
hit ratio:0.199186,time:48872
hit ratio:0.199115,time:50470
hit ratio:0.199078,time:51687
hit ratio:0.199014,time:52613
hit ratio:0.198928,time:53355
hit ratio:0.198855,time:53987
hit ratio:0.198772,time:54559
hit ratio:0.198717,time:55052
hit ratio:0.19869,time:55493
hit ratio:0.19864,time:55891
hit ratio:0.19858,time:56275
hit ratio:0.198518,time:56645
hit ratio:0.198432,time:56996
hit ratio:0.19836,time:57329
hit ratio:0.198267,time:57658
hit ratio:0.19818,time:57979
hit ratio:0.198126,time:58293
hit ratio:0.198045,time:58600
hit ratio:0.197983,time:58904
hit ratio:0.197932,time:59204
hit ratio:0.197945,time:59501
hit ratio:0.197973,time:59793
hit ratio:0.198008,time:60086
hit ratio:0.198065,time:60378
hit ratio:0.198114,time:60666
hit ratio:0.198142,time:60994
hit ratio:0.198135,time:61361
hit ratio:0.198038,time:63846
hit ratio:0.198002,time:64520
hit ratio:0.198074,time:64796
hit ratio:0.198163,time:65044
hit ratio:0.19825,time:65290
hit ratio:0.198328,time:65537
hit ratio:0.198417,time:65785
hit ratio:0.198534,time:66027
hit ratio:0.198694,time:66266
hit ratio:0.198814,time:66502
hit ratio:0.198968,time:66739
hit ratio:0.199087,time:66971
hit ratio:0.19919,time:67201
hit ratio:0.199314,time:67431
hit ratio:0.199444,time:67658
hit ratio:0.199586,time:67887
hit ratio:0.19973,time:68112
hit ratio:0.199867,time:68339
hit ratio:0.199985,time:68563
hit ratio:0.20009,time:68789
hit ratio:0.200206,time:69016
