Marginal Hits init. Cache Initialized. size: 2GB
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.23429,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.27053,time:944
hit ratio:0.286677,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.295298,time:1320
alloc failed. 1440,13125627811827450956,203,151580577
hit ratio:0.300954,time:1514
hit ratio:0.304618,time:1701
hit ratio:0.307344,time:1889
hit ratio:0.308197,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.309766,time:2263
hit ratio:0.310908,time:2449
hit ratio:0.312334,time:2632
hit ratio:0.313661,time:2819
hit ratio:0.315246,time:3010
hit ratio:0.316361,time:3207
hit ratio:0.317566,time:3400
hit ratio:0.318319,time:3592
hit ratio:0.318982,time:3785
hit ratio:0.319713,time:3976
hit ratio:0.320252,time:4166
hit ratio:0.320847,time:4351
hit ratio:0.321111,time:4541
hit ratio:0.321453,time:4730
hit ratio:0.321957,time:4921
hit ratio:0.322795,time:5115
hit ratio:0.32368,time:5307
hit ratio:0.324284,time:5496
hit ratio:0.324888,time:5685
hit ratio:0.325362,time:5870
hit ratio:0.32607,time:6054
hit ratio:0.326674,time:6237
hit ratio:0.327018,time:6419
hit ratio:0.327526,time:6602
hit ratio:0.3279,time:6781
hit ratio:0.328203,time:6961
hit ratio:0.328443,time:7139
hit ratio:0.328549,time:7316
hit ratio:0.328776,time:7491
hit ratio:0.329096,time:7666
hit ratio:0.329216,time:7837
hit ratio:0.329193,time:8007
hit ratio:0.329267,time:8178
hit ratio:0.32932,time:8349
hit ratio:0.329353,time:8516
hit ratio:0.329444,time:8681
hit ratio:0.329595,time:8845
hit ratio:0.32965,time:9009
hit ratio:0.32967,time:9172
hit ratio:0.329639,time:9334
hit ratio:0.329617,time:9496
hit ratio:0.329662,time:9657
hit ratio:0.329704,time:9814
hit ratio:0.329779,time:9973
hit ratio:0.329825,time:10129
hit ratio:0.329892,time:10286
hit ratio:0.329879,time:10445
hit ratio:0.329865,time:10605
hit ratio:0.329746,time:10762
hit ratio:0.329667,time:10919
hit ratio:0.329576,time:11079
hit ratio:0.329399,time:11239
hit ratio:0.329275,time:11400
hit ratio:0.329175,time:11561
hit ratio:0.329062,time:11723
hit ratio:0.329019,time:11887
hit ratio:0.329026,time:12048
hit ratio:0.328877,time:12212
hit ratio:0.328768,time:12372
hit ratio:0.328646,time:12532
hit ratio:0.328579,time:12691
hit ratio:0.328392,time:12851
hit ratio:0.328296,time:13008
hit ratio:0.328174,time:13164
hit ratio:0.32806,time:13319
hit ratio:0.327986,time:13473
hit ratio:0.32785,time:13626
hit ratio:0.327761,time:13781
hit ratio:0.327627,time:13935
hit ratio:0.327525,time:14090
hit ratio:0.327426,time:14240
hit ratio:0.327304,time:14391
hit ratio:0.327141,time:14542
hit ratio:0.32696,time:14693
hit ratio:0.326742,time:14845
hit ratio:0.326587,time:15000
hit ratio:0.326374,time:15155
hit ratio:0.32614,time:15315
hit ratio:0.325975,time:15478
hit ratio:0.325798,time:15635
hit ratio:0.32567,time:15800
hit ratio:0.325537,time:15951
hit ratio:0.3254,time:16104
hit ratio:0.325289,time:16256
hit ratio:0.325166,time:16407
hit ratio:0.325059,time:16558
hit ratio:0.324931,time:16710
hit ratio:0.32479,time:16862
hit ratio:0.324626,time:17015
hit ratio:0.3245,time:17165
hit ratio:0.324402,time:17314
hit ratio:0.324279,time:17467
hit ratio:0.32415,time:17619
hit ratio:0.324013,time:17771
hit ratio:0.323865,time:17923
hit ratio:0.323706,time:18073
hit ratio:0.323585,time:18222
hit ratio:0.323409,time:18371
hit ratio:0.323267,time:18519
hit ratio:0.323115,time:18668
hit ratio:0.323002,time:18816
hit ratio:0.322879,time:18963
hit ratio:0.322788,time:19111
hit ratio:0.3226,time:19259
hit ratio:0.322399,time:19424
hit ratio:0.322323,time:19573
hit ratio:0.322242,time:19721
hit ratio:0.322131,time:19869
hit ratio:0.322027,time:20018
hit ratio:0.32189,time:20166
hit ratio:0.321731,time:20317
hit ratio:0.321599,time:20466
hit ratio:0.321485,time:20617
hit ratio:0.321412,time:20768
hit ratio:0.321354,time:20917
hit ratio:0.321287,time:21067
hit ratio:0.321175,time:21218
hit ratio:0.321102,time:21371
hit ratio:0.321018,time:21522
hit ratio:0.320935,time:21674
hit ratio:0.320797,time:21829
hit ratio:0.320694,time:21984
hit ratio:0.320582,time:22139
hit ratio:0.32047,time:22294
hit ratio:0.320334,time:22451
hit ratio:0.320225,time:22609
hit ratio:0.320126,time:22769
hit ratio:0.320084,time:22930
hit ratio:0.320017,time:23093
hit ratio:0.319927,time:23255
hit ratio:0.31981,time:23418
hit ratio:0.319698,time:23585
hit ratio:0.319589,time:23752
hit ratio:0.319488,time:23919
hit ratio:0.319354,time:24091
hit ratio:0.319226,time:24264
hit ratio:0.319149,time:24439
hit ratio:0.319048,time:24616
hit ratio:0.318903,time:24797
hit ratio:0.318757,time:24982
hit ratio:0.318618,time:25166
hit ratio:0.318491,time:25353
hit ratio:0.318344,time:25544
hit ratio:0.318239,time:25738
hit ratio:0.318103,time:25937
hit ratio:0.318011,time:26138
hit ratio:0.317972,time:26343
hit ratio:0.317956,time:26572
hit ratio:0.317899,time:26778
hit ratio:0.317833,time:27002
hit ratio:0.317736,time:27235
hit ratio:0.31767,time:27478
hit ratio:0.317623,time:27729
hit ratio:0.317551,time:27987
hit ratio:0.31744,time:28264
hit ratio:0.317326,time:28554
hit ratio:0.317179,time:28853
hit ratio:0.31702,time:29163
hit ratio:0.316889,time:29494
hit ratio:0.31671,time:29848
hit ratio:0.316525,time:30215
hit ratio:0.316336,time:30605
hit ratio:0.31614,time:31018
hit ratio:0.315946,time:31456
hit ratio:0.31575,time:31942
hit ratio:0.31554,time:32465
hit ratio:0.315293,time:33040
hit ratio:0.315019,time:33673
hit ratio:0.31475,time:34375
hit ratio:0.314462,time:35152
hit ratio:0.314176,time:36005
hit ratio:0.313922,time:37013
hit ratio:0.313651,time:38144
hit ratio:0.313377,time:39435
hit ratio:0.313057,time:40952
hit ratio:0.312732,time:42716
hit ratio:0.312403,time:44761
hit ratio:0.312084,time:46894
hit ratio:0.311751,time:48872
hit ratio:0.311445,time:50470
hit ratio:0.311183,time:51687
hit ratio:0.31096,time:52613
hit ratio:0.310744,time:53355
hit ratio:0.310543,time:53987
hit ratio:0.310337,time:54559
hit ratio:0.310163,time:55052
hit ratio:0.310034,time:55493
hit ratio:0.30989,time:55891
hit ratio:0.309735,time:56275
hit ratio:0.309592,time:56645
hit ratio:0.309428,time:56996
hit ratio:0.309274,time:57329
hit ratio:0.30911,time:57658
hit ratio:0.308947,time:57979
hit ratio:0.308809,time:58293
hit ratio:0.308648,time:58600
hit ratio:0.308521,time:58904
hit ratio:0.308407,time:59204
hit ratio:0.308352,time:59501
hit ratio:0.308306,time:59793
hit ratio:0.308271,time:60086
hit ratio:0.308266,time:60378
hit ratio:0.308255,time:60666
hit ratio:0.308211,time:60994
hit ratio:0.308132,time:61361
hit ratio:0.307927,time:63846
hit ratio:0.30778,time:64520
hit ratio:0.307803,time:64796
hit ratio:0.307871,time:65044
hit ratio:0.307927,time:65290
hit ratio:0.307985,time:65537
hit ratio:0.308047,time:65785
hit ratio:0.308142,time:66027
hit ratio:0.308283,time:66266
hit ratio:0.308387,time:66502
hit ratio:0.308528,time:66739
hit ratio:0.308634,time:66971
hit ratio:0.308724,time:67201
hit ratio:0.308831,time:67431
hit ratio:0.308945,time:67658
hit ratio:0.309081,time:67887
hit ratio:0.309229,time:68112
hit ratio:0.309367,time:68339
hit ratio:0.309489,time:68563
hit ratio:0.30959,time:68789
hit ratio:0.309698,time:69016
hit ratio:0.309823,time:69248
