Marginal Hits init. Cache Initialized. size: 256MB
alloc failed. 67,11025283874625056042,4690414,5906
alloc failed. 67,11025283874625056042,4690414,7538
alloc failed. 81,6000385553305814611,432,9223372036854775807
alloc failed. 87,11025283874625056042,4690414,20591
alloc failed. 163,8628608183558092006,4734802,2750014
alloc failed. 164,11851004379361116124,337,1622594
alloc failed. 218,3341776155824235211,317,24620
alloc failed. 452,3974051271270075602,424,205354338
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.13748,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.14573,time:944
alloc failed. 998,12682468557924405921,8141905,230583
hit ratio:0.147807,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.14858,time:1320
hit ratio:0.149686,time:1514
hit ratio:0.150198,time:1701
hit ratio:0.150507,time:1889
hit ratio:0.150071,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.150508,time:2263
hit ratio:0.150602,time:2449
hit ratio:0.150973,time:2632
hit ratio:0.151577,time:2819
hit ratio:0.152279,time:3010
hit ratio:0.152408,time:3207
hit ratio:0.152848,time:3400
hit ratio:0.152957,time:3592
hit ratio:0.153092,time:3785
hit ratio:0.153152,time:3976
hit ratio:0.153376,time:4166
hit ratio:0.15352,time:4351
hit ratio:0.153323,time:4541
hit ratio:0.153161,time:4730
hit ratio:0.153297,time:4921
hit ratio:0.153684,time:5115
hit ratio:0.154345,time:5307
hit ratio:0.154663,time:5496
hit ratio:0.15508,time:5685
alloc failed. 5761,12682468557924405921,8141905,2743210
hit ratio:0.15528,time:5870
hit ratio:0.155672,time:6054
hit ratio:0.156018,time:6237
hit ratio:0.156154,time:6419
hit ratio:0.156415,time:6602
hit ratio:0.156552,time:6781
hit ratio:0.156596,time:6961
hit ratio:0.156643,time:7139
hit ratio:0.156535,time:7316
hit ratio:0.1566,time:7491
hit ratio:0.156687,time:7666
hit ratio:0.156641,time:7837
hit ratio:0.156539,time:8007
hit ratio:0.156504,time:8178
hit ratio:0.156416,time:8349
hit ratio:0.156298,time:8516
hit ratio:0.156252,time:8681
hit ratio:0.156233,time:8845
hit ratio:0.15619,time:9009
hit ratio:0.156139,time:9172
hit ratio:0.156056,time:9334
hit ratio:0.155959,time:9496
hit ratio:0.155922,time:9657
hit ratio:0.155866,time:9814
hit ratio:0.155834,time:9973
hit ratio:0.155814,time:10129
hit ratio:0.155806,time:10286
hit ratio:0.155715,time:10445
hit ratio:0.155681,time:10605
hit ratio:0.155574,time:10762
hit ratio:0.155483,time:10919
hit ratio:0.155392,time:11079
hit ratio:0.15521,time:11239
hit ratio:0.155074,time:11400
hit ratio:0.154958,time:11561
hit ratio:0.15489,time:11723
hit ratio:0.154865,time:11887
hit ratio:0.154874,time:12048
hit ratio:0.154713,time:12212
hit ratio:0.154573,time:12372
hit ratio:0.154439,time:12532
hit ratio:0.154376,time:12691
hit ratio:0.154219,time:12851
hit ratio:0.154136,time:13008
hit ratio:0.153988,time:13164
hit ratio:0.153874,time:13319
hit ratio:0.153816,time:13473
hit ratio:0.153715,time:13626
hit ratio:0.153625,time:13781
hit ratio:0.153504,time:13935
hit ratio:0.153392,time:14090
hit ratio:0.153287,time:14240
hit ratio:0.153133,time:14391
hit ratio:0.152952,time:14542
hit ratio:0.152796,time:14693
hit ratio:0.152606,time:14845
hit ratio:0.152471,time:15000
hit ratio:0.152291,time:15155
hit ratio:0.152139,time:15315
hit ratio:0.152003,time:15478
hit ratio:0.15182,time:15635
hit ratio:0.151684,time:15800
hit ratio:0.151522,time:15951
hit ratio:0.151365,time:16104
hit ratio:0.151236,time:16256
hit ratio:0.151078,time:16407
hit ratio:0.151002,time:16558
hit ratio:0.150877,time:16710
hit ratio:0.150747,time:16862
hit ratio:0.150597,time:17015
hit ratio:0.150482,time:17165
hit ratio:0.150408,time:17314
hit ratio:0.150316,time:17467
hit ratio:0.150198,time:17619
hit ratio:0.150067,time:17771
hit ratio:0.149937,time:17923
hit ratio:0.149789,time:18073
hit ratio:0.149662,time:18222
hit ratio:0.149506,time:18371
hit ratio:0.149374,time:18519
hit ratio:0.149221,time:18668
hit ratio:0.149098,time:18816
hit ratio:0.148976,time:18963
hit ratio:0.148868,time:19111
hit ratio:0.148705,time:19259
hit ratio:0.148522,time:19424
hit ratio:0.14845,time:19573
hit ratio:0.148376,time:19721
hit ratio:0.148273,time:19869
hit ratio:0.148197,time:20018
hit ratio:0.148069,time:20166
hit ratio:0.147916,time:20317
hit ratio:0.147791,time:20466
hit ratio:0.14767,time:20617
hit ratio:0.147581,time:20768
hit ratio:0.147511,time:20917
hit ratio:0.147431,time:21067
hit ratio:0.147307,time:21218
hit ratio:0.147218,time:21371
hit ratio:0.147116,time:21522
hit ratio:0.147034,time:21674
hit ratio:0.146893,time:21829
hit ratio:0.146791,time:21984
hit ratio:0.146678,time:22139
hit ratio:0.146553,time:22294
hit ratio:0.146429,time:22451
hit ratio:0.146324,time:22609
hit ratio:0.14622,time:22769
hit ratio:0.146162,time:22930
hit ratio:0.146094,time:23093
hit ratio:0.146008,time:23255
hit ratio:0.145904,time:23418
hit ratio:0.145777,time:23585
hit ratio:0.145662,time:23752
hit ratio:0.14556,time:23919
hit ratio:0.145448,time:24091
hit ratio:0.145322,time:24264
hit ratio:0.145264,time:24439
hit ratio:0.145191,time:24616
hit ratio:0.145077,time:24797
hit ratio:0.144968,time:24982
hit ratio:0.144866,time:25166
hit ratio:0.144766,time:25353
hit ratio:0.144671,time:25544
hit ratio:0.144588,time:25738
hit ratio:0.14448,time:25937
hit ratio:0.14445,time:26138
hit ratio:0.144453,time:26343
hit ratio:0.144479,time:26572
hit ratio:0.14448,time:26778
hit ratio:0.144457,time:27002
hit ratio:0.14443,time:27235
hit ratio:0.144434,time:27478
hit ratio:0.144457,time:27729
hit ratio:0.14445,time:27987
hit ratio:0.144438,time:28264
hit ratio:0.144416,time:28554
hit ratio:0.144364,time:28853
hit ratio:0.144341,time:29163
hit ratio:0.144327,time:29494
hit ratio:0.144295,time:29848
hit ratio:0.144264,time:30215
hit ratio:0.144238,time:30605
hit ratio:0.144227,time:31018
hit ratio:0.144209,time:31456
hit ratio:0.144225,time:31942
hit ratio:0.144229,time:32465
hit ratio:0.144219,time:33040
hit ratio:0.144202,time:33673
hit ratio:0.144204,time:34375
hit ratio:0.144212,time:35152
hit ratio:0.144236,time:36005
hit ratio:0.144286,time:37013
hit ratio:0.144349,time:38144
hit ratio:0.144415,time:39435
hit ratio:0.144474,time:40952
hit ratio:0.144544,time:42716
hit ratio:0.144635,time:44761
hit ratio:0.144735,time:46894
hit ratio:0.144811,time:48872
hit ratio:0.144873,time:50470
hit ratio:0.144942,time:51687
hit ratio:0.144952,time:52613
hit ratio:0.144924,time:53355
hit ratio:0.144894,time:53987
hit ratio:0.144857,time:54559
hit ratio:0.144835,time:55052
hit ratio:0.144831,time:55493
hit ratio:0.14481,time:55891
hit ratio:0.144782,time:56275
hit ratio:0.144749,time:56645
hit ratio:0.144696,time:56996
hit ratio:0.144657,time:57329
hit ratio:0.144604,time:57658
hit ratio:0.144548,time:57979
hit ratio:0.144529,time:58293
hit ratio:0.14448,time:58600
hit ratio:0.144441,time:58904
hit ratio:0.144416,time:59204
hit ratio:0.144452,time:59501
hit ratio:0.144496,time:59793
hit ratio:0.144551,time:60086
hit ratio:0.144629,time:60378
hit ratio:0.144696,time:60666
hit ratio:0.144751,time:60994
hit ratio:0.144781,time:61361
hit ratio:0.144765,time:63846
hit ratio:0.144793,time:64520
hit ratio:0.144877,time:64796
hit ratio:0.144969,time:65044
hit ratio:0.14505,time:65290
hit ratio:0.145131,time:65537
hit ratio:0.145221,time:65785
hit ratio:0.145337,time:66027
