Marginal Hits init. Cache Initialized. size: 256MB
alloc failed. 67,11025283874625056042,4690414,5906
alloc failed. 67,11025283874625056042,4690414,7538
alloc failed. 81,6000385553305814611,432,9223372036854775807
alloc failed. 87,11025283874625056042,4690414,20591
alloc failed. 163,8628608183558092006,4734802,2750014
alloc failed. 164,11851004379361116124,337,1622594
alloc failed. 218,3341776155824235211,317,24620
alloc failed. 452,3974051271270075602,424,205354338
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.13341,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.141095,time:944
alloc failed. 998,12682468557924405921,8141905,230583
hit ratio:0.142913,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.143695,time:1320
hit ratio:0.14476,time:1514
hit ratio:0.145285,time:1701
hit ratio:0.14555,time:1889
hit ratio:0.145152,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.145607,time:2263
hit ratio:0.145709,time:2449
hit ratio:0.146076,time:2632
hit ratio:0.146662,time:2819
hit ratio:0.147337,time:3010
hit ratio:0.147454,time:3207
hit ratio:0.147905,time:3400
hit ratio:0.14802,time:3592
hit ratio:0.148137,time:3785
hit ratio:0.148187,time:3976
hit ratio:0.148405,time:4166
hit ratio:0.148532,time:4351
hit ratio:0.148309,time:4541
hit ratio:0.148145,time:4730
hit ratio:0.148254,time:4921
hit ratio:0.14862,time:5115
hit ratio:0.14928,time:5307
hit ratio:0.149628,time:5496
hit ratio:0.150043,time:5685
alloc failed. 5761,12682468557924405921,8141905,2743210
hit ratio:0.150234,time:5870
hit ratio:0.150616,time:6054
hit ratio:0.15096,time:6237
hit ratio:0.151092,time:6419
hit ratio:0.151366,time:6602
hit ratio:0.151503,time:6781
hit ratio:0.151539,time:6961
hit ratio:0.151587,time:7139
hit ratio:0.151486,time:7316
hit ratio:0.151543,time:7491
hit ratio:0.151628,time:7666
hit ratio:0.15158,time:7837
hit ratio:0.151494,time:8007
hit ratio:0.151457,time:8178
hit ratio:0.15136,time:8349
hit ratio:0.151242,time:8516
hit ratio:0.151199,time:8681
hit ratio:0.151182,time:8845
hit ratio:0.151151,time:9009
hit ratio:0.151105,time:9172
hit ratio:0.151014,time:9334
hit ratio:0.150925,time:9496
hit ratio:0.150883,time:9657
hit ratio:0.150821,time:9814
hit ratio:0.150792,time:9973
hit ratio:0.150756,time:10129
hit ratio:0.150746,time:10286
hit ratio:0.150652,time:10445
hit ratio:0.15061,time:10605
hit ratio:0.1505,time:10762
hit ratio:0.150408,time:10919
hit ratio:0.150323,time:11079
hit ratio:0.150136,time:11239
hit ratio:0.149991,time:11400
hit ratio:0.149878,time:11561
hit ratio:0.149811,time:11723
hit ratio:0.149791,time:11887
hit ratio:0.149802,time:12048
hit ratio:0.149647,time:12212
hit ratio:0.149507,time:12372
hit ratio:0.149368,time:12532
hit ratio:0.1493,time:12691
hit ratio:0.149138,time:12851
hit ratio:0.149054,time:13008
hit ratio:0.14891,time:13164
hit ratio:0.148797,time:13319
hit ratio:0.148744,time:13473
hit ratio:0.148642,time:13626
hit ratio:0.148551,time:13781
hit ratio:0.148428,time:13935
hit ratio:0.148313,time:14090
hit ratio:0.148204,time:14240
hit ratio:0.148052,time:14391
hit ratio:0.147871,time:14542
hit ratio:0.14772,time:14693
hit ratio:0.147536,time:14845
hit ratio:0.147402,time:15000
hit ratio:0.147225,time:15155
hit ratio:0.147071,time:15315
hit ratio:0.146938,time:15478
hit ratio:0.146759,time:15635
hit ratio:0.146631,time:15800
hit ratio:0.146476,time:15951
hit ratio:0.14632,time:16104
hit ratio:0.146192,time:16256
hit ratio:0.146041,time:16407
hit ratio:0.145966,time:16558
hit ratio:0.145843,time:16710
hit ratio:0.145717,time:16862
hit ratio:0.14557,time:17015
hit ratio:0.145462,time:17165
hit ratio:0.145389,time:17314
hit ratio:0.145298,time:17467
hit ratio:0.145183,time:17619
hit ratio:0.145058,time:17771
hit ratio:0.144927,time:17923
hit ratio:0.144776,time:18073
hit ratio:0.144651,time:18222
hit ratio:0.144502,time:18371
hit ratio:0.144371,time:18519
hit ratio:0.144223,time:18668
hit ratio:0.144107,time:18816
hit ratio:0.143987,time:18963
hit ratio:0.143883,time:19111
hit ratio:0.143726,time:19259
hit ratio:0.143545,time:19424
hit ratio:0.143478,time:19573
hit ratio:0.143407,time:19721
hit ratio:0.143309,time:19869
hit ratio:0.143232,time:20018
hit ratio:0.143112,time:20166
hit ratio:0.142965,time:20317
hit ratio:0.142845,time:20466
hit ratio:0.142727,time:20617
hit ratio:0.14264,time:20768
hit ratio:0.142568,time:20917
hit ratio:0.142489,time:21067
hit ratio:0.142368,time:21218
hit ratio:0.142283,time:21371
hit ratio:0.142185,time:21522
hit ratio:0.142106,time:21674
hit ratio:0.141969,time:21829
hit ratio:0.14187,time:21984
hit ratio:0.141759,time:22139
hit ratio:0.141636,time:22294
hit ratio:0.141514,time:22451
hit ratio:0.141412,time:22609
hit ratio:0.141309,time:22769
hit ratio:0.141253,time:22930
hit ratio:0.141187,time:23093
hit ratio:0.141104,time:23255
hit ratio:0.141,time:23418
hit ratio:0.14088,time:23585
hit ratio:0.140769,time:23752
hit ratio:0.140669,time:23919
hit ratio:0.140563,time:24091
hit ratio:0.140443,time:24264
hit ratio:0.140389,time:24439
hit ratio:0.140322,time:24616
hit ratio:0.140214,time:24797
hit ratio:0.140108,time:24982
hit ratio:0.140008,time:25166
hit ratio:0.139913,time:25353
hit ratio:0.139823,time:25544
hit ratio:0.139745,time:25738
hit ratio:0.139645,time:25937
hit ratio:0.139619,time:26138
hit ratio:0.139625,time:26343
hit ratio:0.139652,time:26572
hit ratio:0.139659,time:26778
hit ratio:0.139643,time:27002
hit ratio:0.139623,time:27235
hit ratio:0.139635,time:27478
hit ratio:0.139664,time:27729
hit ratio:0.139664,time:27987
hit ratio:0.139658,time:28264
hit ratio:0.139642,time:28554
hit ratio:0.139597,time:28853
hit ratio:0.139582,time:29163
hit ratio:0.139574,time:29494
hit ratio:0.139545,time:29848
hit ratio:0.13952,time:30215
hit ratio:0.139504,time:30605
hit ratio:0.139503,time:31018
hit ratio:0.139494,time:31456
hit ratio:0.139519,time:31942
hit ratio:0.139536,time:32465
hit ratio:0.139539,time:33040
hit ratio:0.139536,time:33673
hit ratio:0.139549,time:34375
hit ratio:0.13957,time:35152
hit ratio:0.139603,time:36005
hit ratio:0.139666,time:37013
hit ratio:0.139742,time:38144
hit ratio:0.139823,time:39435
hit ratio:0.139897,time:40952
hit ratio:0.139981,time:42716
hit ratio:0.140087,time:44761
hit ratio:0.1402,time:46894
hit ratio:0.140291,time:48872
hit ratio:0.140366,time:50470
hit ratio:0.140451,time:51687
hit ratio:0.140473,time:52613
hit ratio:0.140457,time:53355
hit ratio:0.140434,time:53987
hit ratio:0.140406,time:54559
hit ratio:0.140393,time:55052
hit ratio:0.140394,time:55493
hit ratio:0.140382,time:55891
hit ratio:0.140361,time:56275
hit ratio:0.140335,time:56645
hit ratio:0.14029,time:56996
hit ratio:0.140258,time:57329
hit ratio:0.14021,time:57658
hit ratio:0.140161,time:57979
hit ratio:0.140143,time:58293
hit ratio:0.1401,time:58600
hit ratio:0.140065,time:58904
hit ratio:0.140042,time:59204
hit ratio:0.140081,time:59501
hit ratio:0.14013,time:59793
hit ratio:0.140186,time:60086
hit ratio:0.140264,time:60378
hit ratio:0.140332,time:60666
hit ratio:0.140389,time:60994
hit ratio:0.140422,time:61361
hit ratio:0.140409,time:63846
hit ratio:0.140438,time:64520
hit ratio:0.140522,time:64796
hit ratio:0.140612,time:65044
hit ratio:0.140692,time:65290
hit ratio:0.140773,time:65537
hit ratio:0.140862,time:65785
hit ratio:0.140975,time:66027
